May 17, 2026   18:02:57
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.171
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 4.130e-1, 7.224e-2, 4.192e-1, 9.9
8.105e+3, 4.134e-1, 6.032e-2, 4.178e-1, 8.3
6.641e+3, 4.120e-1, 4.803e-2, 4.148e-1, 6.6
5.469e+3, 4.122e-1, 3.921e-2, 4.140e-1, 5.4
4.590e+3, 4.120e-1, 3.122e-2, 4.132e-1, 4.3
3.711e+3, 4.125e-1, 2.497e-2, 4.133e-1, 3.5
3.125e+3, 4.130e-1, 1.938e-2, 4.134e-1, 2.7
2.539e+3, 4.136e-1, 1.483e-2, 4.139e-1, 2.1
2.148e+3, 4.142e-1, 1.092e-2, 4.143e-1, 1.5
1.758e+3, 4.149e-1, 7.453e-3, 4.149e-1, 1.0
1.465e+3, 4.159e-1, 4.503e-3, 4.159e-1, 0.6
1.172e+3, 4.168e-1, 2.324e-3, 4.168e-1, 0.3
9.668e+2, 4.174e-1, 7.125e-4, 4.174e-1, 0.1
8.105e+2, 4.181e-1, -8.018e-4, 4.181e-1, -0.1
6.641e+2, 4.190e-1, -2.289e-3, 4.190e-1, -0.3
5.469e+2, 4.200e-1, -3.676e-3, 4.200e-1, -0.5
4.590e+2, 4.212e-1, -4.913e-3, 4.212e-1, -0.7
3.711e+2, 4.224e-1, -5.995e-3, 4.224e-1, -0.8
3.125e+2, 4.236e-1, -6.913e-3, 4.237e-1, -0.9
2.539e+2, 4.249e-1, -7.689e-3, 4.250e-1, -1.0
2.148e+2, 4.262e-1, -8.308e-3, 4.263e-1, -1.1
1.758e+2, 4.275e-1, -8.825e-3, 4.276e-1, -1.2
1.465e+2, 4.290e-1, -9.267e-3, 4.291e-1, -1.2
1.172e+2, 4.305e-1, -8.892e-3, 4.306e-1, -1.2
9.766e+1, 4.321e-1, -8.230e-3, 4.322e-1, -1.1
8.138e+1, 4.337e-1, -8.321e-3, 4.338e-1, -1.1
6.975e+1, 4.352e-1, -8.909e-3, 4.353e-1, -1.2
5.744e+1, 4.366e-1, -9.738e-3, 4.367e-1, -1.3
