May 17, 2026   18:46:00
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.172
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.940e-1, 7.238e-2, 4.006e-1, 10.4
8.105e+3, 3.942e-1, 6.039e-2, 3.988e-1, 8.7
6.641e+3, 3.930e-1, 4.809e-2, 3.959e-1, 7.0
5.469e+3, 3.931e-1, 3.919e-2, 3.951e-1, 5.7
4.590e+3, 3.930e-1, 3.119e-2, 3.942e-1, 4.5
3.711e+3, 3.935e-1, 2.493e-2, 3.943e-1, 3.6
3.125e+3, 3.939e-1, 1.935e-2, 3.944e-1, 2.8
2.539e+3, 3.946e-1, 1.477e-2, 3.948e-1, 2.1
2.148e+3, 3.951e-1, 1.086e-2, 3.953e-1, 1.6
1.758e+3, 3.958e-1, 7.384e-3, 3.959e-1, 1.1
1.465e+3, 3.969e-1, 4.415e-3, 3.969e-1, 0.6
1.172e+3, 3.980e-1, 2.199e-3, 3.980e-1, 0.3
9.668e+2, 3.992e-1, 5.627e-4, 3.992e-1, 0.1
8.105e+2, 4.002e-1, -9.582e-4, 4.002e-1, -0.1
6.641e+2, 4.012e-1, -2.472e-3, 4.012e-1, -0.4
5.469e+2, 4.022e-1, -3.893e-3, 4.023e-1, -0.6
4.590e+2, 4.034e-1, -5.156e-3, 4.034e-1, -0.7
3.711e+2, 4.046e-1, -6.243e-3, 4.046e-1, -0.9
3.125e+2, 4.058e-1, -7.161e-3, 4.059e-1, -1.0
2.539e+2, 4.071e-1, -7.950e-3, 4.072e-1, -1.1
2.148e+2, 4.085e-1, -8.604e-3, 4.086e-1, -1.2
1.758e+2, 4.098e-1, -9.151e-3, 4.099e-1, -1.3
1.465e+2, 4.113e-1, -9.628e-3, 4.114e-1, -1.3
1.172e+2, 4.130e-1, -9.314e-3, 4.131e-1, -1.3
9.766e+1, 4.148e-1, -8.701e-3, 4.149e-1, -1.2
8.138e+1, 4.165e-1, -8.797e-3, 4.166e-1, -1.2
