May 16, 2026   16:19:14
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.213
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 4.692e-1, 7.580e-2, 4.753e-1, 9.2
8.105e+3, 4.696e-1, 6.340e-2, 4.739e-1, 7.7
6.641e+3, 4.680e-1, 5.052e-2, 4.708e-1, 6.2
5.469e+3, 4.682e-1, 4.133e-2, 4.701e-1, 5.0
4.590e+3, 4.680e-1, 3.303e-2, 4.692e-1, 4.0
3.711e+3, 4.687e-1, 2.660e-2, 4.694e-1, 3.2
3.125e+3, 4.691e-1, 2.084e-2, 4.696e-1, 2.5
2.539e+3, 4.698e-1, 1.617e-2, 4.701e-1, 2.0
2.148e+3, 4.703e-1, 1.217e-2, 4.704e-1, 1.5
1.758e+3, 4.709e-1, 8.655e-3, 4.709e-1, 1.1
1.465e+3, 4.718e-1, 5.656e-3, 4.718e-1, 0.7
1.172e+3, 4.728e-1, 3.510e-3, 4.728e-1, 0.4
9.668e+2, 4.735e-1, 1.955e-3, 4.735e-1, 0.2
8.105e+2, 4.742e-1, 5.302e-4, 4.742e-1, 0.1
6.641e+2, 4.750e-1, -8.618e-4, 4.750e-1, -0.1
5.469e+2, 4.759e-1, -2.264e-3, 4.759e-1, -0.3
4.590e+2, 4.770e-1, -3.494e-3, 4.770e-1, -0.4
3.711e+2, 4.780e-1, -4.507e-3, 4.781e-1, -0.5
3.125e+2, 4.792e-1, -5.304e-3, 4.792e-1, -0.6
2.539e+2, 4.803e-1, -5.910e-3, 4.804e-1, -0.7
2.148e+2, 4.814e-1, -6.369e-3, 4.814e-1, -0.8
1.758e+2, 4.825e-1, -6.702e-3, 4.825e-1, -0.8
1.465e+2, 4.835e-1, -6.970e-3, 4.836e-1, -0.8
1.172e+2, 4.847e-1, -6.418e-3, 4.848e-1, -0.8
9.766e+1, 4.859e-1, -5.573e-3, 4.860e-1, -0.7
8.138e+1, 4.871e-1, -5.608e-3, 4.871e-1, -0.7
6.975e+1, 4.881e-1, -6.237e-3, 4.882e-1, -0.7
5.744e+1, 4.891e-1, -7.159e-3, 4.891e-1, -0.8
4.650e+1, 4.900e-1, -7.998e-3, 4.901e-1, -0.9
3.756e+1, 4.909e-1, -8.686e-3, 4.909e-1, -1.0
3.150e+1, 4.917e-1, -9.195e-3, 4.918e-1, -1.1
2.570e+1, 4.925e-1, -9.602e-3, 4.926e-1, -1.1
2.123e+1, 4.934e-1, -9.948e-3, 4.935e-1, -1.2
1.744e+1, 4.943e-1, -1.026e-2, 4.944e-1, -1.2
1.436e+1, 4.952e-1, -1.060e-2, 4.953e-1, -1.2
1.191e+1, 4.971e-1, -9.635e-3, 4.972e-1, -1.1
9.766e+0, 4.997e-1, -7.953e-3, 4.998e-1, -0.9
8.071e+0, 5.017e-1, -7.196e-3, 5.017e-1, -0.8
6.643e+0, 5.031e-1, -7.242e-3, 5.032e-1, -0.8
5.486e+0, 5.042e-1, -7.876e-3, 5.043e-1, -0.9
4.542e+0, 5.052e-1, -8.644e-3, 5.053e-1, -1.0
3.742e+0, 5.062e-1, -8.934e-3, 5.063e-1, -1.0
3.090e+0, 5.073e-1, -8.889e-3, 5.074e-1, -1.0
2.550e+0, 5.085e-1, -9.187e-3, 5.086e-1, -1.0
2.105e+0, 5.099e-1, -9.697e-3, 5.100e-1, -1.1
1.738e+0, 5.115e-1, -1.040e-2, 5.116e-1, -1.2
1.434e+0, 5.129e-1, -1.125e-2, 5.130e-1, -1.3
1.184e+0, 5.143e-1, -1.155e-2, 5.144e-1, -1.3
9.766e-1, 5.158e-1, -1.162e-2, 5.159e-1, -1.3
8.071e-1, 5.172e-1, -1.225e-2, 5.173e-1, -1.4
6.643e-1, 5.185e-1, -1.336e-2, 5.187e-1, -1.5
5.486e-1, 5.199e-1, -1.473e-2, 5.201e-1, -1.6
4.542e-1, 5.216e-1, -1.619e-2, 5.218e-1, -1.8
3.742e-1, 5.233e-1, -1.781e-2, 5.236e-1, -1.9
3.090e-1, 5.252e-1, -1.954e-2, 5.256e-1, -2.1
2.550e-1, 5.272e-1, -2.143e-2, 5.276e-1, -2.3
2.105e-1, 5.293e-1, -2.347e-2, 5.298e-1, -2.5
1.738e-1, 5.315e-1, -2.574e-2, 5.322e-1, -2.8
1.434e-1, 5.340e-1, -2.824e-2, 5.347e-1, -3.0
1.184e-1, 5.366e-1, -3.099e-2, 5.375e-1, -3.3
9.766e-2, 5.395e-1, -3.401e-2, 5.406e-1, -3.6
8.071e-2, 5.427e-1, -3.738e-2, 5.440e-1, -3.9
6.643e-2, 5.462e-1, -4.121e-2, 5.477e-1, -4.3
5.486e-2, 5.500e-1, -4.511e-2, 5.519e-1, -4.7
4.542e-2, 5.543e-1, -4.938e-2, 5.565e-1, -5.1
3.742e-2, 5.590e-1, -5.457e-2, 5.616e-1, -5.6
3.090e-2, 5.641e-1, -6.068e-2, 5.673e-1, -6.1
2.550e-2, 5.699e-1, -6.774e-2, 5.739e-1, -6.8
2.105e-2, 5.764e-1, -7.556e-2, 5.813e-1, -7.5
1.738e-2, 5.837e-1, -8.424e-2, 5.898e-1, -8.2
1.434e-2, 5.920e-1, -9.378e-2, 5.994e-1, -9.0
1.184e-2, 6.013e-1, -1.041e-1, 6.102e-1, -9.8
