May 16, 2026   17:59:05
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.214
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 4.580e-1, 7.587e-2, 4.642e-1, 9.4
8.105e+3, 4.585e-1, 6.334e-2, 4.628e-1, 7.9
6.641e+3, 4.569e-1, 5.055e-2, 4.597e-1, 6.3
5.469e+3, 4.571e-1, 4.134e-2, 4.590e-1, 5.2
4.590e+3, 4.569e-1, 3.310e-2, 4.581e-1, 4.1
3.711e+3, 4.575e-1, 2.664e-2, 4.583e-1, 3.3
3.125e+3, 4.579e-1, 2.087e-2, 4.584e-1, 2.6
2.539e+3, 4.586e-1, 1.615e-2, 4.589e-1, 2.0
2.148e+3, 4.591e-1, 1.214e-2, 4.592e-1, 1.5
1.758e+3, 4.598e-1, 8.613e-3, 4.598e-1, 1.1
1.465e+3, 4.607e-1, 5.609e-3, 4.608e-1, 0.7
1.172e+3, 4.617e-1, 3.479e-3, 4.617e-1, 0.4
9.668e+2, 4.624e-1, 1.905e-3, 4.624e-1, 0.2
8.105e+2, 4.631e-1, 4.504e-4, 4.631e-1, 0.1
6.641e+2, 4.640e-1, -9.415e-4, 4.640e-1, -0.1
5.469e+2, 4.649e-1, -2.342e-3, 4.649e-1, -0.3
4.590e+2, 4.659e-1, -3.567e-3, 4.660e-1, -0.4
3.711e+2, 4.670e-1, -4.581e-3, 4.670e-1, -0.6
3.125e+2, 4.682e-1, -5.372e-3, 4.682e-1, -0.7
2.539e+2, 4.694e-1, -5.988e-3, 4.694e-1, -0.7
2.148e+2, 4.704e-1, -6.453e-3, 4.705e-1, -0.8
1.758e+2, 4.715e-1, -6.787e-3, 4.716e-1, -0.8
1.465e+2, 4.726e-1, -7.060e-3, 4.726e-1, -0.9
1.172e+2, 4.738e-1, -6.529e-3, 4.739e-1, -0.8
9.766e+1, 4.751e-1, -5.720e-3, 4.751e-1, -0.7
8.138e+1, 4.762e-1, -5.756e-3, 4.763e-1, -0.7
6.975e+1, 4.773e-1, -6.350e-3, 4.774e-1, -0.8
5.744e+1, 4.783e-1, -7.237e-3, 4.784e-1, -0.9
4.650e+1, 4.792e-1, -8.057e-3, 4.793e-1, -1.0
3.756e+1, 4.801e-1, -8.731e-3, 4.802e-1, -1.0
3.150e+1, 4.810e-1, -9.234e-3, 4.811e-1, -1.1
2.570e+1, 4.819e-1, -9.625e-3, 4.820e-1, -1.1
2.123e+1, 4.828e-1, -9.985e-3, 4.829e-1, -1.2
1.744e+1, 4.837e-1, -1.031e-2, 4.838e-1, -1.2
1.436e+1, 4.846e-1, -1.060e-2, 4.847e-1, -1.3
1.191e+1, 4.865e-1, -9.662e-3, 4.866e-1, -1.1
9.766e+0, 4.891e-1, -8.045e-3, 4.891e-1, -0.9
8.071e+0, 4.911e-1, -7.308e-3, 4.911e-1, -0.9
6.643e+0, 4.926e-1, -7.368e-3, 4.926e-1, -0.9
5.486e+0, 4.936e-1, -8.007e-3, 4.937e-1, -0.9
4.542e+0, 4.946e-1, -8.742e-3, 4.947e-1, -1.0
3.742e+0, 4.956e-1, -9.025e-3, 4.957e-1, -1.0
3.090e+0, 4.968e-1, -8.988e-3, 4.968e-1, -1.0
2.550e+0, 4.980e-1, -9.302e-3, 4.981e-1, -1.1
2.105e+0, 4.995e-1, -9.857e-3, 4.996e-1, -1.1
1.738e+0, 5.010e-1, -1.057e-2, 5.011e-1, -1.2
1.434e+0, 5.025e-1, -1.139e-2, 5.026e-1, -1.3
1.184e+0, 5.039e-1, -1.166e-2, 5.040e-1, -1.3
9.766e-1, 5.052e-1, -1.172e-2, 5.054e-1, -1.3
8.071e-1, 5.067e-1, -1.238e-2, 5.068e-1, -1.4
6.643e-1, 5.082e-1, -1.352e-2, 5.083e-1, -1.5
5.486e-1, 5.097e-1, -1.490e-2, 5.099e-1, -1.7
4.542e-1, 5.113e-1, -1.641e-2, 5.116e-1, -1.8
3.742e-1, 5.130e-1, -1.807e-2, 5.134e-1, -2.0
3.090e-1, 5.149e-1, -1.981e-2, 5.153e-1, -2.2
2.550e-1, 5.169e-1, -2.170e-2, 5.173e-1, -2.4
2.105e-1, 5.190e-1, -2.376e-2, 5.195e-1, -2.6
1.738e-1, 5.212e-1, -2.604e-2, 5.219e-1, -2.9
1.434e-1, 5.237e-1, -2.861e-2, 5.245e-1, -3.1
1.184e-1, 5.265e-1, -3.142e-2, 5.274e-1, -3.4
9.766e-2, 5.295e-1, -3.451e-2, 5.307e-1, -3.7
8.071e-2, 5.328e-1, -3.804e-2, 5.342e-1, -4.1
6.643e-2, 5.363e-1, -4.198e-2, 5.380e-1, -4.5
5.486e-2, 5.402e-1, -4.597e-2, 5.421e-1, -4.9
4.542e-2, 5.445e-1, -5.039e-2, 5.468e-1, -5.3
3.742e-2, 5.494e-1, -5.574e-2, 5.522e-1, -5.8
3.090e-2, 5.548e-1, -6.202e-2, 5.582e-1, -6.4
2.550e-2, 5.606e-1, -6.920e-2, 5.649e-1, -7.0
2.105e-2, 5.672e-1, -7.722e-2, 5.724e-1, -7.8
1.738e-2, 5.748e-1, -8.623e-2, 5.812e-1, -8.5
1.434e-2, 5.835e-1, -9.614e-2, 5.913e-1, -9.4
1.184e-2, 5.932e-1, -1.069e-1, 6.028e-1, -10.2
