May 16, 2026   09:58:01
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.26
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.831e-1, 8.269e-2, 3.919e-1, 12.2
8.105e+3, 3.831e-1, 6.911e-2, 3.893e-1, 10.2
6.641e+3, 3.817e-1, 5.519e-2, 3.857e-1, 8.2
5.469e+3, 3.817e-1, 4.522e-2, 3.844e-1, 6.8
4.590e+3, 3.814e-1, 3.620e-2, 3.832e-1, 5.4
3.711e+3, 3.819e-1, 2.914e-2, 3.830e-1, 4.4
3.125e+3, 3.823e-1, 2.285e-2, 3.829e-1, 3.4
2.539e+3, 3.829e-1, 1.775e-2, 3.833e-1, 2.7
2.148e+3, 3.834e-1, 1.339e-2, 3.837e-1, 2.0
1.758e+3, 3.841e-1, 9.548e-3, 3.842e-1, 1.4
1.465e+3, 3.851e-1, 6.269e-3, 3.851e-1, 0.9
1.172e+3, 3.874e-1, 3.712e-3, 3.874e-1, 0.5
9.668e+2, 3.904e-1, 1.740e-3, 3.904e-1, 0.3
8.105e+2, 3.926e-1, 2.014e-5, 3.926e-1, 0.0
6.641e+2, 3.941e-1, -1.554e-3, 3.941e-1, -0.2
5.469e+2, 3.952e-1, -2.966e-3, 3.952e-1, -0.4
4.590e+2, 3.961e-1, -4.201e-3, 3.961e-1, -0.6
3.711e+2, 3.971e-1, -5.240e-3, 3.972e-1, -0.8
3.125e+2, 3.983e-1, -6.092e-3, 3.983e-1, -0.9
2.539e+2, 3.995e-1, -6.787e-3, 3.996e-1, -1.0
2.148e+2, 4.008e-1, -7.332e-3, 4.008e-1, -1.0
1.758e+2, 4.020e-1, -7.752e-3, 4.021e-1, -1.1
1.465e+2, 4.033e-1, -8.074e-3, 4.034e-1, -1.1
1.172e+2, 4.040e-1, -7.624e-3, 4.041e-1, -1.1
9.766e+1, 4.043e-1, -6.901e-3, 4.043e-1, -1.0
8.138e+1, 4.048e-1, -6.910e-3, 4.049e-1, -1.0
6.975e+1, 4.056e-1, -7.412e-3, 4.056e-1, -1.0
5.744e+1, 4.065e-1, -8.172e-3, 4.066e-1, -1.2
4.650e+1, 4.075e-1, -8.857e-3, 4.076e-1, -1.2
3.756e+1, 4.085e-1, -9.393e-3, 4.086e-1, -1.3
3.150e+1, 4.094e-1, -9.766e-3, 4.095e-1, -1.4
2.570e+1, 4.103e-1, -1.005e-2, 4.104e-1, -1.4
2.123e+1, 4.111e-1, -1.028e-2, 4.112e-1, -1.4
1.744e+1, 4.120e-1, -1.050e-2, 4.121e-1, -1.5
1.436e+1, 4.128e-1, -1.075e-2, 4.130e-1, -1.5
1.191e+1, 4.146e-1, -9.942e-3, 4.147e-1, -1.4
9.766e+0, 4.169e-1, -8.548e-3, 4.170e-1, -1.2
8.071e+0, 4.187e-1, -7.932e-3, 4.188e-1, -1.1
6.643e+0, 4.201e-1, -7.984e-3, 4.202e-1, -1.1
5.486e+0, 4.211e-1, -8.521e-3, 4.212e-1, -1.2
4.542e+0, 4.220e-1, -9.159e-3, 4.221e-1, -1.2
3.742e+0, 4.230e-1, -9.405e-3, 4.231e-1, -1.3
3.090e+0, 4.242e-1, -9.389e-3, 4.243e-1, -1.3
2.550e+0, 4.254e-1, -9.658e-3, 4.255e-1, -1.3
2.105e+0, 4.268e-1, -1.014e-2, 4.270e-1, -1.4
1.738e+0, 4.284e-1, -1.079e-2, 4.285e-1, -1.4
1.434e+0, 4.298e-1, -1.157e-2, 4.299e-1, -1.5
1.184e+0, 4.311e-1, -1.188e-2, 4.313e-1, -1.6
9.766e-1, 4.325e-1, -1.201e-2, 4.327e-1, -1.6
8.071e-1, 4.338e-1, -1.266e-2, 4.340e-1, -1.7
6.643e-1, 4.352e-1, -1.375e-2, 4.354e-1, -1.8
5.486e-1, 4.366e-1, -1.510e-2, 4.369e-1, -2.0
4.542e-1, 4.381e-1, -1.657e-2, 4.384e-1, -2.2
3.742e-1, 4.398e-1, -1.818e-2, 4.402e-1, -2.4
3.090e-1, 4.415e-1, -1.993e-2, 4.420e-1, -2.6
2.550e-1, 4.434e-1, -2.186e-2, 4.439e-1, -2.8
2.105e-1, 4.454e-1, -2.396e-2, 4.460e-1, -3.1
