May 16, 2026   09:30:42
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.26
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.688e-1, 8.094e-2, 3.776e-1, 12.4
8.105e+3, 3.689e-1, 6.758e-2, 3.750e-1, 10.4
6.641e+3, 3.675e-1, 5.404e-2, 3.715e-1, 8.4
5.469e+3, 3.675e-1, 4.420e-2, 3.702e-1, 6.9
4.590e+3, 3.673e-1, 3.536e-2, 3.690e-1, 5.5
3.711e+3, 3.677e-1, 2.837e-2, 3.688e-1, 4.4
3.125e+3, 3.681e-1, 2.217e-2, 3.687e-1, 3.4
2.539e+3, 3.687e-1, 1.714e-2, 3.691e-1, 2.7
2.148e+3, 3.692e-1, 1.286e-2, 3.695e-1, 2.0
1.758e+3, 3.699e-1, 9.125e-3, 3.701e-1, 1.4
1.465e+3, 3.709e-1, 5.921e-3, 3.710e-1, 0.9
1.172e+3, 3.719e-1, 3.340e-3, 3.719e-1, 0.5
9.668e+2, 3.726e-1, 1.302e-3, 3.726e-1, 0.2
8.105e+2, 3.735e-1, -4.463e-4, 3.735e-1, -0.1
6.641e+2, 3.744e-1, -2.015e-3, 3.744e-1, -0.3
5.469e+2, 3.755e-1, -3.401e-3, 3.755e-1, -0.5
4.590e+2, 3.766e-1, -4.613e-3, 3.766e-1, -0.7
3.711e+2, 3.778e-1, -5.643e-3, 3.778e-1, -0.9
3.125e+2, 3.790e-1, -6.494e-3, 3.791e-1, -1.0
2.539e+2, 3.803e-1, -7.191e-3, 3.803e-1, -1.1
2.148e+2, 3.815e-1, -7.742e-3, 3.816e-1, -1.2
1.758e+2, 3.828e-1, -8.179e-3, 3.829e-1, -1.2
1.465e+2, 3.841e-1, -8.511e-3, 3.842e-1, -1.3
1.172e+2, 3.856e-1, -8.049e-3, 3.856e-1, -1.2
9.766e+1, 3.870e-1, -7.301e-3, 3.871e-1, -1.1
8.138e+1, 3.884e-1, -7.281e-3, 3.884e-1, -1.1
6.975e+1, 3.897e-1, -7.752e-3, 3.897e-1, -1.1
