May 15, 2026   15:41:21
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.281
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 4.067e-1, 6.950e-2, 4.126e-1, 9.7
8.105e+3, 4.071e-1, 5.812e-2, 4.113e-1, 8.1
6.641e+3, 4.058e-1, 4.612e-2, 4.084e-1, 6.5
5.469e+3, 4.060e-1, 3.762e-2, 4.077e-1, 5.3
4.590e+3, 4.058e-1, 2.985e-2, 4.069e-1, 4.2
3.711e+3, 4.064e-1, 2.382e-2, 4.071e-1, 3.4
3.125e+3, 4.068e-1, 1.841e-2, 4.072e-1, 2.6
2.539e+3, 4.075e-1, 1.401e-2, 4.077e-1, 2.0
2.148e+3, 4.080e-1, 1.026e-2, 4.082e-1, 1.4
1.758e+3, 4.088e-1, 6.941e-3, 4.088e-1, 1.0
1.465e+3, 4.098e-1, 4.083e-3, 4.098e-1, 0.6
1.172e+3, 4.108e-1, 1.954e-3, 4.108e-1, 0.3
9.668e+2, 4.116e-1, 3.789e-4, 4.116e-1, 0.1
8.105e+2, 4.125e-1, -1.082e-3, 4.125e-1, -0.2
6.641e+2, 4.134e-1, -2.509e-3, 4.134e-1, -0.3
5.469e+2, 4.145e-1, -3.836e-3, 4.145e-1, -0.5
4.590e+2, 4.156e-1, -4.997e-3, 4.157e-1, -0.7
3.711e+2, 4.169e-1, -5.980e-3, 4.169e-1, -0.8
3.125e+2, 4.181e-1, -6.787e-3, 4.182e-1, -0.9
2.539e+2, 4.194e-1, -7.453e-3, 4.194e-1, -1.0
2.148e+2, 4.206e-1, -7.973e-3, 4.207e-1, -1.1
1.758e+2, 4.219e-1, -8.379e-3, 4.220e-1, -1.1
1.465e+2, 4.233e-1, -8.689e-3, 4.234e-1, -1.2
1.172e+2, 4.248e-1, -8.215e-3, 4.249e-1, -1.1
9.766e+1, 4.263e-1, -7.488e-3, 4.263e-1, -1.0
8.138e+1, 4.277e-1, -7.502e-3, 4.277e-1, -1.0
6.975e+1, 4.290e-1, -8.008e-3, 4.290e-1, -1.1
5.744e+1, 4.302e-1, -8.755e-3, 4.303e-1, -1.2
4.650e+1, 4.313e-1, -9.419e-3, 4.314e-1, -1.3
3.756e+1, 4.324e-1, -9.940e-3, 4.325e-1, -1.3
3.150e+1, 4.335e-1, -1.029e-2, 4.336e-1, -1.4
2.570e+1, 4.345e-1, -1.055e-2, 4.346e-1, -1.4
2.123e+1, 4.355e-1, -1.076e-2, 4.356e-1, -1.4
1.744e+1, 4.365e-1, -1.097e-2, 4.367e-1, -1.4
1.436e+1, 4.375e-1, -1.117e-2, 4.377e-1, -1.5
1.191e+1, 4.394e-1, -1.024e-2, 4.395e-1, -1.3
9.766e+0, 4.418e-1, -8.690e-3, 4.419e-1, -1.1
8.071e+0, 4.437e-1, -7.967e-3, 4.438e-1, -1.0
6.643e+0, 4.452e-1, -7.958e-3, 4.453e-1, -1.0
5.486e+0, 4.463e-1, -8.492e-3, 4.464e-1, -1.1
4.542e+0, 4.474e-1, -9.119e-3, 4.475e-1, -1.2
3.742e+0, 4.484e-1, -9.298e-3, 4.485e-1, -1.2
