May 15, 2026   16:12:51
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.281
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 4.032e-1, 6.934e-2, 4.092e-1, 9.8
8.105e+3, 4.036e-1, 5.789e-2, 4.077e-1, 8.2
6.641e+3, 4.023e-1, 4.598e-2, 4.049e-1, 6.5
5.469e+3, 4.025e-1, 3.742e-2, 4.042e-1, 5.3
4.590e+3, 4.023e-1, 2.970e-2, 4.034e-1, 4.2
3.711e+3, 4.029e-1, 2.366e-2, 4.036e-1, 3.4
3.125e+3, 4.034e-1, 1.823e-2, 4.038e-1, 2.6
2.539e+3, 4.041e-1, 1.379e-2, 4.044e-1, 2.0
2.148e+3, 4.047e-1, 9.984e-3, 4.049e-1, 1.4
1.758e+3, 4.055e-1, 6.595e-3, 4.055e-1, 0.9
1.465e+3, 4.065e-1, 3.680e-3, 4.065e-1, 0.5
1.172e+3, 4.076e-1, 1.509e-3, 4.076e-1, 0.2
9.668e+2, 4.085e-1, -1.056e-4, 4.085e-1, -0.0
8.105e+2, 4.094e-1, -1.606e-3, 4.094e-1, -0.2
6.641e+2, 4.104e-1, -3.076e-3, 4.104e-1, -0.4
5.469e+2, 4.115e-1, -4.461e-3, 4.115e-1, -0.6
4.590e+2, 4.127e-1, -5.709e-3, 4.128e-1, -0.8
3.711e+2, 4.140e-1, -6.781e-3, 4.141e-1, -0.9
3.125e+2, 4.154e-1, -7.676e-3, 4.154e-1, -1.1
2.539e+2, 4.167e-1, -8.429e-3, 4.168e-1, -1.2
2.148e+2, 4.181e-1, -9.028e-3, 4.182e-1, -1.2
1.758e+2, 4.195e-1, -9.513e-3, 4.197e-1, -1.3
1.465e+2, 4.211e-1, -9.923e-3, 4.212e-1, -1.3
1.172e+2, 4.228e-1, -9.564e-3, 4.229e-1, -1.3
9.766e+1, 4.245e-1, -8.926e-3, 4.246e-1, -1.2
8.138e+1, 4.262e-1, -8.989e-3, 4.263e-1, -1.2
6.975e+1, 4.278e-1, -9.511e-3, 4.279e-1, -1.3
5.744e+1, 4.292e-1, -1.025e-2, 4.294e-1, -1.4
4.650e+1, 4.306e-1, -1.088e-2, 4.307e-1, -1.4
3.756e+1, 4.319e-1, -1.133e-2, 4.321e-1, -1.5
3.150e+1, 4.331e-1, -1.161e-2, 4.333e-1, -1.5
2.570e+1, 4.343e-1, -1.178e-2, 4.345e-1, -1.6
2.123e+1, 4.355e-1, -1.191e-2, 4.357e-1, -1.6
1.744e+1, 4.367e-1, -1.207e-2, 4.368e-1, -1.6
1.436e+1, 4.378e-1, -1.222e-2, 4.380e-1, -1.6
1.191e+1, 4.398e-1, -1.123e-2, 4.399e-1, -1.5
9.766e+0, 4.423e-1, -9.646e-3, 4.424e-1, -1.2
8.071e+0, 4.443e-1, -8.893e-3, 4.444e-1, -1.1
6.643e+0, 4.458e-1, -8.852e-3, 4.459e-1, -1.1
5.486e+0, 4.470e-1, -9.353e-3, 4.471e-1, -1.2
4.542e+0, 4.482e-1, -9.980e-3, 4.483e-1, -1.3
3.742e+0, 4.493e-1, -1.020e-2, 4.494e-1, -1.3
3.090e+0, 4.506e-1, -1.014e-2, 4.507e-1, -1.3
2.550e+0, 4.520e-1, -1.038e-2, 4.521e-1, -1.3
2.105e+0, 4.536e-1, -1.081e-2, 4.537e-1, -1.4
1.738e+0, 4.553e-1, -1.141e-2, 4.554e-1, -1.4
1.434e+0, 4.569e-1, -1.220e-2, 4.571e-1, -1.5
1.184e+0, 4.584e-1, -1.252e-2, 4.586e-1, -1.6
9.766e-1, 4.599e-1, -1.257e-2, 4.601e-1, -1.6
8.071e-1, 4.614e-1, -1.313e-2, 4.616e-1, -1.6
6.643e-1, 4.629e-1, -1.417e-2, 4.631e-1, -1.8
5.486e-1, 4.645e-1, -1.549e-2, 4.648e-1, -1.9
4.542e-1, 4.662e-1, -1.689e-2, 4.665e-1, -2.1
3.742e-1, 4.680e-1, -1.844e-2, 4.683e-1, -2.3
3.090e-1, 4.699e-1, -2.013e-2, 4.704e-1, -2.5
2.550e-1, 4.720e-1, -2.196e-2, 4.725e-1, -2.7
2.105e-1, 4.742e-1, -2.394e-2, 4.748e-1, -2.9
1.738e-1, 4.765e-1, -2.613e-2, 4.773e-1, -3.1
1.434e-1, 4.791e-1, -2.856e-2, 4.800e-1, -3.4
1.184e-1, 4.819e-1, -3.129e-2, 4.829e-1, -3.7
9.766e-2, 4.849e-1, -3.431e-2, 4.861e-1, -4.0
8.071e-2, 4.883e-1, -3.764e-2, 4.897e-1, -4.4
6.643e-2, 4.920e-1, -4.140e-2, 4.937e-1, -4.8
5.486e-2, 4.962e-1, -4.529e-2, 4.982e-1, -5.2
4.542e-2, 5.007e-1, -4.948e-2, 5.032e-1, -5.6
3.742e-2, 5.057e-1, -5.457e-2, 5.087e-1, -6.2
3.090e-2, 5.113e-1, -6.053e-2, 5.148e-1, -6.8
2.550e-2, 5.175e-1, -6.724e-2, 5.218e-1, -7.4
2.105e-2, 5.247e-1, -7.465e-2, 5.299e-1, -8.1
1.738e-2, 5.328e-1, -8.276e-2, 5.392e-1, -8.8
1.434e-2, 5.420e-1, -9.148e-2, 5.497e-1, -9.6
1.184e-2, 5.521e-1, -1.008e-1, 5.612e-1, -10.3
