May 15, 2026   11:45:58
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.291
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.867e-1, 7.739e-2, 3.944e-1, 11.3
8.105e+3, 3.871e-1, 6.469e-2, 3.924e-1, 9.5
6.641e+3, 3.858e-1, 5.166e-2, 3.892e-1, 7.6
5.469e+3, 3.859e-1, 4.223e-2, 3.882e-1, 6.2
4.590e+3, 3.858e-1, 3.376e-2, 3.872e-1, 5.0
3.711e+3, 3.863e-1, 2.715e-2, 3.872e-1, 4.0
3.125e+3, 3.867e-1, 2.125e-2, 3.873e-1, 3.1
2.539e+3, 3.873e-1, 1.644e-2, 3.877e-1, 2.4
2.148e+3, 3.879e-1, 1.237e-2, 3.881e-1, 1.8
1.758e+3, 3.886e-1, 8.815e-3, 3.887e-1, 1.3
1.465e+3, 3.895e-1, 5.754e-3, 3.896e-1, 0.8
1.172e+3, 3.905e-1, 3.504e-3, 3.905e-1, 0.5
9.668e+2, 3.912e-1, 1.850e-3, 3.912e-1, 0.3
8.105e+2, 3.920e-1, 3.432e-4, 3.920e-1, 0.1
6.641e+2, 3.928e-1, -1.082e-3, 3.928e-1, -0.2
5.469e+2, 3.938e-1, -2.439e-3, 3.938e-1, -0.4
4.590e+2, 3.949e-1, -3.646e-3, 3.949e-1, -0.5
3.711e+2, 3.960e-1, -4.634e-3, 3.960e-1, -0.7
3.125e+2, 3.972e-1, -5.399e-3, 3.972e-1, -0.8
2.539e+2, 3.983e-1, -5.982e-3, 3.983e-1, -0.9
2.148e+2, 3.994e-1, -6.419e-3, 3.995e-1, -0.9
1.758e+2, 4.005e-1, -6.727e-3, 4.006e-1, -1.0
1.465e+2, 4.016e-1, -6.944e-3, 4.016e-1, -1.0
1.172e+2, 4.027e-1, -6.391e-3, 4.028e-1, -0.9
9.766e+1, 4.038e-1, -5.574e-3, 4.039e-1, -0.8
8.138e+1, 4.049e-1, -5.531e-3, 4.049e-1, -0.8
6.975e+1, 4.059e-1, -6.016e-3, 4.060e-1, -0.8
5.744e+1, 4.069e-1, -6.794e-3, 4.069e-1, -1.0
4.650e+1, 4.078e-1, -7.510e-3, 4.078e-1, -1.1
3.756e+1, 4.086e-1, -8.081e-3, 4.087e-1, -1.1
3.150e+1, 4.094e-1, -8.496e-3, 4.095e-1, -1.2
2.570e+1, 4.103e-1, -8.821e-3, 4.104e-1, -1.2
2.123e+1, 4.111e-1, -9.083e-3, 4.112e-1, -1.3
1.744e+1, 4.120e-1, -9.318e-3, 4.121e-1, -1.3
1.436e+1, 4.129e-1, -9.546e-3, 4.130e-1, -1.3
1.191e+1, 4.147e-1, -8.707e-3, 4.148e-1, -1.2
9.766e+0, 4.171e-1, -7.277e-3, 4.171e-1, -1.0
8.071e+0, 4.189e-1, -6.592e-3, 4.190e-1, -0.9
6.643e+0, 4.203e-1, -6.553e-3, 4.203e-1, -0.9
5.486e+0, 4.212e-1, -6.988e-3, 4.213e-1, -1.0
4.542e+0, 4.221e-1, -7.505e-3, 4.222e-1, -1.0
3.742e+0, 4.230e-1, -7.630e-3, 4.230e-1, -1.0
3.090e+0, 4.239e-1, -7.487e-3, 4.240e-1, -1.0
2.550e+0, 4.250e-1, -7.623e-3, 4.250e-1, -1.0
2.105e+0, 4.261e-1, -7.927e-3, 4.262e-1, -1.1
1.738e+0, 4.273e-1, -8.369e-3, 4.274e-1, -1.1
1.434e+0, 4.284e-1, -8.937e-3, 4.285e-1, -1.2
1.184e+0, 4.295e-1, -9.076e-3, 4.296e-1, -1.2
9.766e-1, 4.305e-1, -9.038e-3, 4.306e-1, -1.2
8.071e-1, 4.315e-1, -9.491e-3, 4.316e-1, -1.3
6.643e-1, 4.326e-1, -1.037e-2, 4.327e-1, -1.4
5.486e-1, 4.338e-1, -1.149e-2, 4.339e-1, -1.5
4.542e-1, 4.350e-1, -1.270e-2, 4.352e-1, -1.7
3.742e-1, 4.362e-1, -1.405e-2, 4.365e-1, -1.8
3.090e-1, 4.376e-1, -1.551e-2, 4.379e-1, -2.0
2.550e-1, 4.390e-1, -1.709e-2, 4.393e-1, -2.2
2.105e-1, 4.406e-1, -1.887e-2, 4.410e-1, -2.5
1.738e-1, 4.423e-1, -2.091e-2, 4.428e-1, -2.7
1.434e-1, 4.442e-1, -2.318e-2, 4.448e-1, -3.0
1.184e-1, 4.462e-1, -2.567e-2, 4.470e-1, -3.3
9.766e-2, 4.485e-1, -2.850e-2, 4.494e-1, -3.6
8.071e-2, 4.510e-1, -3.172e-2, 4.521e-1, -4.0
6.643e-2, 4.539e-1, -3.538e-2, 4.553e-1, -4.5
5.486e-2, 4.571e-1, -3.921e-2, 4.588e-1, -4.9
4.542e-2, 4.606e-1, -4.343e-2, 4.627e-1, -5.4
3.742e-2, 4.646e-1, -4.854e-2, 4.671e-1, -6.0
3.090e-2, 4.691e-1, -5.458e-2, 4.722e-1, -6.6
2.550e-2, 4.742e-1, -6.155e-2, 4.781e-1, -7.4
2.105e-2, 4.800e-1, -6.933e-2, 4.850e-1, -8.2
1.738e-2, 4.867e-1, -7.791e-2, 4.929e-1, -9.1
1.434e-2, 4.943e-1, -8.733e-2, 5.019e-1, -10.0
1.184e-2, 5.026e-1, -9.761e-2, 5.120e-1, -11.0
