May 15, 2026   12:44:30
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.291
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 4.431e-1, 7.519e-2, 4.495e-1, 9.6
8.105e+3, 4.435e-1, 6.282e-2, 4.480e-1, 8.1
6.641e+3, 4.421e-1, 4.986e-2, 4.449e-1, 6.4
5.469e+3, 4.423e-1, 4.073e-2, 4.442e-1, 5.3
4.590e+3, 4.422e-1, 3.242e-2, 4.434e-1, 4.2
3.711e+3, 4.428e-1, 2.597e-2, 4.436e-1, 3.4
3.125e+3, 4.433e-1, 2.016e-2, 4.438e-1, 2.6
2.539e+3, 4.440e-1, 1.546e-2, 4.443e-1, 2.0
2.148e+3, 4.446e-1, 1.143e-2, 4.447e-1, 1.5
1.758e+3, 4.453e-1, 7.862e-3, 4.453e-1, 1.0
1.465e+3, 4.464e-1, 4.778e-3, 4.464e-1, 0.6
1.172e+3, 4.475e-1, 2.486e-3, 4.475e-1, 0.3
9.668e+2, 4.484e-1, 8.259e-4, 4.484e-1, 0.1
8.105e+2, 4.493e-1, -7.126e-4, 4.493e-1, -0.1
6.641e+2, 4.502e-1, -2.231e-3, 4.503e-1, -0.3
5.469e+2, 4.513e-1, -3.673e-3, 4.513e-1, -0.5
4.590e+2, 4.525e-1, -4.957e-3, 4.526e-1, -0.6
3.711e+2, 4.538e-1, -6.036e-3, 4.538e-1, -0.8
3.125e+2, 4.551e-1, -6.916e-3, 4.551e-1, -0.9
2.539e+2, 4.564e-1, -7.652e-3, 4.565e-1, -1.0
2.148e+2, 4.577e-1, -8.220e-3, 4.578e-1, -1.0
1.758e+2, 4.591e-1, -8.674e-3, 4.591e-1, -1.1
1.465e+2, 4.605e-1, -9.041e-3, 4.606e-1, -1.1
1.172e+2, 4.621e-1, -8.559e-3, 4.622e-1, -1.1
9.766e+1, 4.637e-1, -7.786e-3, 4.638e-1, -1.0
8.138e+1, 4.653e-1, -7.804e-3, 4.654e-1, -1.0
6.975e+1, 4.667e-1, -8.359e-3, 4.668e-1, -1.0
5.744e+1, 4.681e-1, -9.172e-3, 4.681e-1, -1.1
4.650e+1, 4.693e-1, -9.885e-3, 4.694e-1, -1.2
3.756e+1, 4.704e-1, -1.042e-2, 4.705e-1, -1.3
3.150e+1, 4.715e-1, -1.077e-2, 4.717e-1, -1.3
2.570e+1, 4.726e-1, -1.100e-2, 4.727e-1, -1.3
2.123e+1, 4.736e-1, -1.118e-2, 4.738e-1, -1.4
1.744e+1, 4.747e-1, -1.135e-2, 4.748e-1, -1.4
1.436e+1, 4.757e-1, -1.152e-2, 4.759e-1, -1.4
1.191e+1, 4.777e-1, -1.047e-2, 4.778e-1, -1.3
9.766e+0, 4.803e-1, -8.761e-3, 4.804e-1, -1.0
8.071e+0, 4.823e-1, -7.930e-3, 4.823e-1, -0.9
6.643e+0, 4.838e-1, -7.871e-3, 4.839e-1, -0.9
5.486e+0, 4.849e-1, -8.372e-3, 4.849e-1, -1.0
4.542e+0, 4.859e-1, -8.981e-3, 4.860e-1, -1.1
3.742e+0, 4.869e-1, -9.146e-3, 4.870e-1, -1.1
