May 14, 2026   19:07:55
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.292
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.259e-1, 7.559e-2, 3.346e-1, 13.1
8.105e+3, 3.295e-1, 6.369e-2, 3.356e-1, 10.9
6.641e+3, 3.263e-1, 4.750e-2, 3.297e-1, 8.3
5.469e+3, 3.264e-1, 4.079e-2, 3.289e-1, 7.1
4.590e+3, 3.243e-1, 3.154e-2, 3.258e-1, 5.6
3.711e+3, 3.245e-1, 2.488e-2, 3.255e-1, 4.4
3.125e+3, 3.261e-1, 1.911e-2, 3.266e-1, 3.4
2.539e+3, 3.268e-1, 1.567e-2, 3.272e-1, 2.7
2.148e+3, 3.269e-1, 1.121e-2, 3.271e-1, 2.0
1.758e+3, 3.271e-1, 7.199e-3, 3.272e-1, 1.3
1.465e+3, 3.290e-1, 4.553e-3, 3.290e-1, 0.8
1.172e+3, 3.305e-1, 2.983e-3, 3.305e-1, 0.5
9.668e+2, 3.317e-1, 1.722e-3, 3.317e-1, 0.3
8.105e+2, 3.328e-1, -5.018e-4, 3.328e-1, -0.1
6.641e+2, 3.329e-1, -2.333e-3, 3.329e-1, -0.4
5.469e+2, 3.338e-1, -3.490e-3, 3.339e-1, -0.6
4.590e+2, 3.338e-1, -5.455e-3, 3.339e-1, -0.9
3.711e+2, 3.347e-1, -7.542e-3, 3.348e-1, -1.3
3.125e+2, 3.372e-1, -8.155e-3, 3.373e-1, -1.4
2.539e+2, 3.387e-1, -7.850e-3, 3.388e-1, -1.3
2.148e+2, 3.396e-1, -8.784e-3, 3.397e-1, -1.5
1.758e+2, 3.404e-1, -9.670e-3, 3.406e-1, -1.6
1.465e+2, 3.429e-1, -9.535e-3, 3.430e-1, -1.6
1.172e+2, 3.571e-1, -8.931e-3, 3.572e-1, -1.4
9.766e+1, 3.779e-1, -8.884e-3, 3.780e-1, -1.3
8.138e+1, 3.915e-1, -9.446e-3, 3.916e-1, -1.4
6.975e+1, 3.982e-1, -1.035e-2, 3.983e-1, -1.5
5.744e+1, 3.997e-1, -1.126e-2, 3.998e-1, -1.6
4.650e+1, 3.998e-1, -1.191e-2, 4.000e-1, -1.7
3.756e+1, 4.000e-1, -1.227e-2, 4.002e-1, -1.8
3.150e+1, 4.009e-1, -1.251e-2, 4.011e-1, -1.8
2.570e+1, 4.022e-1, -1.260e-2, 4.024e-1, -1.8
2.123e+1, 4.035e-1, -1.268e-2, 4.037e-1, -1.8
1.744e+1, 4.048e-1, -1.269e-2, 4.050e-1, -1.8
1.436e+1, 4.060e-1, -1.273e-2, 4.062e-1, -1.8
1.191e+1, 4.048e-1, -1.202e-2, 4.050e-1, -1.7
9.766e+0, 4.019e-1, -1.074e-2, 4.021e-1, -1.5
8.071e+0, 4.005e-1, -1.004e-2, 4.006e-1, -1.4
6.643e+0, 4.004e-1, -9.822e-3, 4.005e-1, -1.4
5.486e+0, 4.015e-1, -1.002e-2, 4.016e-1, -1.4
4.542e+0, 4.029e-1, -1.037e-2, 4.030e-1, -1.5
3.742e+0, 4.043e-1, -1.035e-2, 4.044e-1, -1.5
3.090e+0, 4.057e-1, -1.011e-2, 4.058e-1, -1.4
2.550e+0, 4.070e-1, -1.017e-2, 4.072e-1, -1.4
2.105e+0, 4.085e-1, -1.047e-2, 4.086e-1, -1.5
1.738e+0, 4.099e-1, -1.089e-2, 4.101e-1, -1.5
1.434e+0, 4.112e-1, -1.134e-2, 4.113e-1, -1.6
1.184e+0, 4.125e-1, -1.143e-2, 4.126e-1, -1.6
9.766e-1, 4.137e-1, -1.137e-2, 4.139e-1, -1.6
8.071e-1, 4.149e-1, -1.182e-2, 4.151e-1, -1.6
6.643e-1, 4.162e-1, -1.273e-2, 4.164e-1, -1.8
5.486e-1, 4.174e-1, -1.392e-2, 4.176e-1, -1.9
4.542e-1, 4.187e-1, -1.527e-2, 4.190e-1, -2.1
3.742e-1, 4.200e-1, -1.681e-2, 4.203e-1, -2.3
3.090e-1, 4.215e-1, -1.849e-2, 4.219e-1, -2.5
2.550e-1, 4.231e-1, -2.026e-2, 4.236e-1, -2.7
2.105e-1, 4.247e-1, -2.230e-2, 4.253e-1, -3.0
1.738e-1, 4.264e-1, -2.466e-2, 4.271e-1, -3.3
1.434e-1, 4.283e-1, -2.726e-2, 4.291e-1, -3.6
1.184e-1, 4.303e-1, -3.021e-2, 4.313e-1, -4.0
9.766e-2, 4.325e-1, -3.363e-2, 4.338e-1, -4.4
8.071e-2, 4.349e-1, -3.753e-2, 4.365e-1, -4.9
6.643e-2, 4.377e-1, -4.190e-2, 4.397e-1, -5.5
5.486e-2, 4.409e-1, -4.652e-2, 4.434e-1, -6.0
4.542e-2, 4.446e-1, -5.173e-2, 4.476e-1, -6.6
3.742e-2, 4.487e-1, -5.806e-2, 4.525e-1, -7.4
3.090e-2, 4.534e-1, -6.543e-2, 4.581e-1, -8.2
2.550e-2, 4.589e-1, -7.384e-2, 4.648e-1, -9.1
2.105e-2, 4.654e-1, -8.326e-2, 4.728e-1, -10.1
1.738e-2, 4.729e-1, -9.374e-2, 4.821e-1, -11.2
1.434e-2, 4.813e-1, -1.053e-1, 4.927e-1, -12.3
1.184e-2, 4.907e-1, -1.178e-1, 5.047e-1, -13.5
