May 13, 2026   16:16:55
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.298
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.760e-1, 6.938e-2, 3.823e-1, 10.5
8.105e+3, 3.763e-1, 5.804e-2, 3.807e-1, 8.8
6.641e+3, 3.749e-1, 4.623e-2, 3.778e-1, 7.0
5.469e+3, 3.751e-1, 3.776e-2, 3.770e-1, 5.7
4.590e+3, 3.749e-1, 3.009e-2, 3.761e-1, 4.6
3.711e+3, 3.754e-1, 2.412e-2, 3.761e-1, 3.7
3.125e+3, 3.758e-1, 1.879e-2, 3.762e-1, 2.9
2.539e+3, 3.764e-1, 1.445e-2, 3.767e-1, 2.2
2.148e+3, 3.769e-1, 1.076e-2, 3.771e-1, 1.6
1.758e+3, 3.776e-1, 7.518e-3, 3.777e-1, 1.1
1.465e+3, 3.785e-1, 4.726e-3, 3.786e-1, 0.7
1.172e+3, 3.795e-1, 2.653e-3, 3.795e-1, 0.4
9.668e+2, 3.803e-1, 1.155e-3, 3.803e-1, 0.2
8.105e+2, 3.811e-1, -1.974e-4, 3.811e-1, -0.0
6.641e+2, 3.819e-1, -1.503e-3, 3.819e-1, -0.2
5.469e+2, 3.829e-1, -2.719e-3, 3.829e-1, -0.4
4.590e+2, 3.839e-1, -3.751e-3, 3.839e-1, -0.6
3.711e+2, 3.850e-1, -4.587e-3, 3.850e-1, -0.7
3.125e+2, 3.861e-1, -5.250e-3, 3.861e-1, -0.8
2.539e+2, 3.871e-1, -5.762e-3, 3.872e-1, -0.9
2.148e+2, 3.882e-1, -6.114e-3, 3.882e-1, -0.9
1.758e+2, 3.892e-1, -6.352e-3, 3.893e-1, -0.9
1.465e+2, 3.903e-1, -6.525e-3, 3.903e-1, -1.0
1.172e+2, 3.913e-1, -5.963e-3, 3.914e-1, -0.9
9.766e+1, 3.923e-1, -5.178e-3, 3.924e-1, -0.8
8.138e+1, 3.933e-1, -5.137e-3, 3.933e-1, -0.7
6.975e+1, 3.942e-1, -5.598e-3, 3.942e-1, -0.8
5.744e+1, 3.951e-1, -6.325e-3, 3.951e-1, -0.9
4.650e+1, 3.959e-1, -6.990e-3, 3.960e-1, -1.0
3.756e+1, 3.967e-1, -7.523e-3, 3.968e-1, -1.1
3.150e+1, 3.975e-1, -7.905e-3, 3.976e-1, -1.1
2.570e+1, 3.983e-1, -8.200e-3, 3.984e-1, -1.2
2.123e+1, 3.991e-1, -8.421e-3, 3.991e-1, -1.2
1.744e+1, 3.999e-1, -8.612e-3, 4.000e-1, -1.2
1.436e+1, 4.007e-1, -8.805e-3, 4.008e-1, -1.3
1.191e+1, 4.024e-1, -7.939e-3, 4.025e-1, -1.1
9.766e+0, 4.048e-1, -6.488e-3, 4.048e-1, -0.9
8.071e+0, 4.066e-1, -5.777e-3, 4.066e-1, -0.8
6.643e+0, 4.078e-1, -5.688e-3, 4.079e-1, -0.8
5.486e+0, 4.087e-1, -6.041e-3, 4.087e-1, -0.8
4.542e+0, 4.094e-1, -6.487e-3, 4.095e-1, -0.9
3.742e+0, 4.101e-1, -6.535e-3, 4.102e-1, -0.9
3.090e+0, 4.109e-1, -6.317e-3, 4.110e-1, -0.9
2.550e+0, 4.118e-1, -6.350e-3, 4.118e-1, -0.9
2.105e+0, 4.127e-1, -6.577e-3, 4.128e-1, -0.9
1.738e+0, 4.137e-1, -7.020e-3, 4.137e-1, -1.0
1.434e+0, 4.146e-1, -7.564e-3, 4.146e-1, -1.0
