May 12, 2026   22:04:18
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.297
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.001
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+4, 3.991e-1, 5.783e-1, 7.026e-1, 55.4
8.105e+4, 3.592e-1, 4.958e-1, 6.122e-1, 54.1
6.641e+4, 3.635e-1, 4.238e-1, 5.584e-1, 49.4
5.469e+4, 3.517e-1, 3.480e-1, 4.948e-1, 44.7
4.590e+4, 3.492e-1, 2.920e-1, 4.552e-1, 39.9
3.711e+4, 3.395e-1, 2.406e-1, 4.161e-1, 35.3
3.125e+4, 3.365e-1, 2.009e-1, 3.919e-1, 30.8
2.539e+4, 3.320e-1, 1.648e-1, 3.706e-1, 26.4
2.148e+4, 3.306e-1, 1.356e-1, 3.573e-1, 22.3
1.758e+4, 3.308e-1, 1.077e-1, 3.479e-1, 18.0
1.465e+4, 3.311e-1, 8.663e-2, 3.423e-1, 14.7
1.172e+4, 3.307e-1, 8.656e-2, 3.418e-1, 14.7
9.668e+3, 3.302e-1, 9.604e-2, 3.439e-1, 16.2
8.105e+3, 3.296e-1, 9.474e-2, 3.429e-1, 16.0
6.641e+3, 3.289e-1, 8.466e-2, 3.397e-1, 14.4
5.469e+3, 3.283e-1, 6.967e-2, 3.356e-1, 12.0
4.590e+3, 3.281e-1, 5.506e-2, 3.326e-1, 9.5
3.711e+3, 3.286e-1, 4.274e-2, 3.314e-1, 7.4
3.125e+3, 3.294e-1, 3.359e-2, 3.311e-1, 5.8
2.539e+3, 3.301e-1, 2.666e-2, 3.312e-1, 4.6
2.148e+3, 3.308e-1, 2.117e-2, 3.315e-1, 3.7
1.758e+3, 3.318e-1, 1.646e-2, 3.322e-1, 2.8
1.465e+3, 3.325e-1, 1.207e-2, 3.328e-1, 2.1
1.172e+3, 3.332e-1, 7.858e-3, 3.333e-1, 1.4
9.668e+2, 3.340e-1, 4.557e-3, 3.340e-1, 0.8
8.105e+2, 3.349e-1, 1.969e-3, 3.349e-1, 0.3
6.641e+2, 3.360e-1, 8.001e-5, 3.360e-1, 0.0
5.469e+2, 3.370e-1, -1.446e-3, 3.370e-1, -0.2
4.590e+2, 3.381e-1, -2.736e-3, 3.381e-1, -0.5
3.711e+2, 3.391e-1, -3.762e-3, 3.391e-1, -0.6
3.125e+2, 3.402e-1, -4.578e-3, 3.402e-1, -0.8
2.539e+2, 3.412e-1, -5.204e-3, 3.413e-1, -0.9
2.148e+2, 3.423e-1, -5.682e-3, 3.423e-1, -1.0
1.758e+2, 3.434e-1, -6.074e-3, 3.434e-1, -1.0
1.465e+2, 3.445e-1, -6.338e-3, 3.445e-1, -1.1
1.172e+2, 3.455e-1, -5.916e-3, 3.456e-1, -1.0
9.766e+1, 3.465e-1, -5.259e-3, 3.465e-1, -0.9
8.138e+1, 3.475e-1, -5.227e-3, 3.475e-1, -0.9
6.975e+1, 3.483e-1, -5.649e-3, 3.484e-1, -0.9
5.744e+1, 3.492e-1, -6.312e-3, 3.492e-1, -1.0
4.650e+1, 3.500e-1, -6.945e-3, 3.501e-1, -1.1
3.756e+1, 3.508e-1, -7.469e-3, 3.509e-1, -1.2
3.150e+1, 3.516e-1, -7.873e-3, 3.517e-1, -1.3
2.570e+1, 3.525e-1, -8.219e-3, 3.526e-1, -1.3
2.123e+1, 3.533e-1, -8.496e-3, 3.534e-1, -1.4
1.744e+1, 3.542e-1, -8.697e-3, 3.543e-1, -1.4
1.436e+1, 3.550e-1, -8.859e-3, 3.551e-1, -1.4
1.191e+1, 3.557e-1, -8.012e-3, 3.558e-1, -1.3
9.766e+0, 3.564e-1, -6.641e-3, 3.565e-1, -1.1
8.071e+0, 3.572e-1, -5.966e-3, 3.573e-1, -1.0
6.643e+0, 3.580e-1, -5.890e-3, 3.581e-1, -0.9
5.486e+0, 3.589e-1, -6.213e-3, 3.589e-1, -1.0
4.542e+0, 3.597e-1, -6.559e-3, 3.598e-1, -1.0
3.742e+0, 3.605e-1, -6.582e-3, 3.606e-1, -1.0
3.090e+0, 3.614e-1, -6.432e-3, 3.615e-1, -1.0
2.550e+0, 3.624e-1, -6.450e-3, 3.625e-1, -1.0
2.105e+0, 3.634e-1, -6.575e-3, 3.635e-1, -1.0
1.738e+0, 3.642e-1, -6.920e-3, 3.642e-1, -1.1
1.434e+0, 3.647e-1, -7.484e-3, 3.648e-1, -1.2
1.184e+0, 3.654e-1, -7.694e-3, 3.655e-1, -1.2
9.766e-1, 3.663e-1, -7.546e-3, 3.664e-1, -1.2
8.071e-1, 3.672e-1, -7.775e-3, 3.673e-1, -1.2
6.643e-1, 3.682e-1, -8.568e-3, 3.683e-1, -1.3
5.486e-1, 3.692e-1, -9.623e-3, 3.694e-1, -1.5
4.542e-1, 3.703e-1, -1.073e-2, 3.705e-1, -1.7
3.742e-1, 3.714e-1, -1.175e-2, 3.716e-1, -1.8
3.090e-1, 3.723e-1, -1.286e-2, 3.725e-1, -2.0
2.550e-1, 3.734e-1, -1.430e-2, 3.737e-1, -2.2
2.105e-1, 3.747e-1, -1.596e-2, 3.750e-1, -2.4
1.738e-1, 3.761e-1, -1.772e-2, 3.765e-1, -2.7
1.434e-1, 3.778e-1, -1.950e-2, 3.783e-1, -3.0
1.184e-1, 3.796e-1, -2.148e-2, 3.802e-1, -3.2
9.766e-2, 3.816e-1, -2.375e-2, 3.824e-1, -3.6
8.071e-2, 3.839e-1, -2.632e-2, 3.848e-1, -3.9
6.643e-2, 3.864e-1, -2.948e-2, 3.875e-1, -4.4
5.486e-2, 3.889e-1, -3.287e-2, 3.903e-1, -4.8
4.542e-2, 3.917e-1, -3.645e-2, 3.934e-1, -5.3
3.742e-2, 3.954e-1, -4.097e-2, 3.975e-1, -5.9
3.090e-2, 3.996e-1, -4.616e-2, 4.022e-1, -6.6
2.550e-2, 4.044e-1, -5.178e-2, 4.077e-1, -7.3
2.105e-2, 4.097e-1, -5.773e-2, 4.138e-1, -8.0
1.738e-2, 4.156e-1, -6.435e-2, 4.205e-1, -8.8
1.434e-2, 4.217e-1, -7.176e-2, 4.278e-1, -9.7
1.184e-2, 4.283e-1, -7.982e-2, 4.357e-1, -10.6
