May 13, 2026   14:43:29
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.298
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 2.638e-1, 7.100e-2, 2.732e-1, 15.1
8.105e+3, 2.665e-1, 5.961e-2, 2.731e-1, 12.6
6.641e+3, 2.640e-1, 4.518e-2, 2.678e-1, 9.7
5.469e+3, 2.641e-1, 3.823e-2, 2.669e-1, 8.2
4.590e+3, 2.625e-1, 2.991e-2, 2.642e-1, 6.5
3.711e+3, 2.628e-1, 2.380e-2, 2.638e-1, 5.2
3.125e+3, 2.639e-1, 1.851e-2, 2.646e-1, 4.0
2.539e+3, 2.646e-1, 1.509e-2, 2.650e-1, 3.3
2.148e+3, 2.650e-1, 1.106e-2, 2.652e-1, 2.4
1.758e+3, 2.653e-1, 7.363e-3, 2.654e-1, 1.6
1.465e+3, 2.668e-1, 4.806e-3, 2.668e-1, 1.0
1.172e+3, 2.679e-1, 3.325e-3, 2.679e-1, 0.7
9.668e+2, 2.689e-1, 2.252e-3, 2.689e-1, 0.5
8.105e+2, 2.699e-1, 4.561e-4, 2.699e-1, 0.1
6.641e+2, 2.701e-1, -1.201e-3, 2.701e-1, -0.3
5.469e+2, 2.709e-1, -2.236e-3, 2.709e-1, -0.5
4.590e+2, 2.709e-1, -3.655e-3, 2.709e-1, -0.8
3.711e+2, 2.715e-1, -5.105e-3, 2.716e-1, -1.1
3.125e+2, 2.734e-1, -5.479e-3, 2.734e-1, -1.1
2.539e+2, 2.746e-1, -5.277e-3, 2.747e-1, -1.1
2.148e+2, 2.755e-1, -6.000e-3, 2.756e-1, -1.2
1.758e+2, 2.763e-1, -6.694e-3, 2.763e-1, -1.4
