May 13, 2026   14:31:29
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.299
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 2.643e-1, 7.113e-2, 2.737e-1, 15.1
8.105e+3, 2.672e-1, 5.971e-2, 2.738e-1, 12.6
6.641e+3, 2.646e-1, 4.539e-2, 2.685e-1, 9.7
5.469e+3, 2.648e-1, 3.840e-2, 2.676e-1, 8.3
4.590e+3, 2.632e-1, 3.001e-2, 2.649e-1, 6.5
3.711e+3, 2.635e-1, 2.383e-2, 2.646e-1, 5.2
3.125e+3, 2.647e-1, 1.850e-2, 2.653e-1, 4.0
2.539e+3, 2.653e-1, 1.511e-2, 2.657e-1, 3.3
2.148e+3, 2.656e-1, 1.116e-2, 2.658e-1, 2.4
1.758e+3, 2.659e-1, 7.508e-3, 2.660e-1, 1.6
1.465e+3, 2.673e-1, 4.960e-3, 2.673e-1, 1.1
1.172e+3, 2.684e-1, 3.475e-3, 2.684e-1, 0.7
9.668e+2, 2.694e-1, 2.402e-3, 2.694e-1, 0.5
8.105e+2, 2.703e-1, 6.130e-4, 2.703e-1, 0.1
6.641e+2, 2.705e-1, -1.007e-3, 2.705e-1, -0.2
5.469e+2, 2.713e-1, -2.012e-3, 2.713e-1, -0.4
4.590e+2, 2.713e-1, -3.442e-3, 2.713e-1, -0.7
3.711e+2, 2.720e-1, -4.911e-3, 2.720e-1, -1.0
3.125e+2, 2.738e-1, -5.311e-3, 2.739e-1, -1.1
2.539e+2, 2.750e-1, -5.075e-3, 2.750e-1, -1.1
2.148e+2, 2.758e-1, -5.717e-3, 2.759e-1, -1.2
1.758e+2, 2.765e-1, -6.363e-3, 2.766e-1, -1.3
1.465e+2, 2.780e-1, -6.187e-3, 2.781e-1, -1.3
1.172e+2, 2.856e-1, -5.569e-3, 2.857e-1, -1.1
9.766e+1, 2.965e-1, -5.369e-3, 2.965e-1, -1.0
8.138e+1, 3.035e-1, -5.714e-3, 3.035e-1, -1.1
6.975e+1, 3.069e-1, -6.386e-3, 3.070e-1, -1.2
5.744e+1, 3.077e-1, -7.086e-3, 3.078e-1, -1.3
4.650e+1, 3.078e-1, -7.650e-3, 3.079e-1, -1.4
3.756e+1, 3.079e-1, -8.076e-3, 3.080e-1, -1.5
3.150e+1, 3.085e-1, -8.350e-3, 3.086e-1, -1.6
2.570e+1, 3.093e-1, -8.567e-3, 3.094e-1, -1.6
2.123e+1, 3.102e-1, -8.780e-3, 3.103e-1, -1.6
1.744e+1, 3.111e-1, -8.973e-3, 3.112e-1, -1.7
1.436e+1, 3.120e-1, -9.144e-3, 3.121e-1, -1.7
1.191e+1, 3.115e-1, -8.650e-3, 3.116e-1, -1.6
9.766e+0, 3.102e-1, -7.771e-3, 3.103e-1, -1.4
8.071e+0, 3.097e-1, -7.275e-3, 3.097e-1, -1.3
6.643e+0, 3.099e-1, -7.158e-3, 3.100e-1, -1.3
5.486e+0, 3.107e-1, -7.327e-3, 3.108e-1, -1.4
4.542e+0, 3.117e-1, -7.573e-3, 3.117e-1, -1.4
3.742e+0, 3.127e-1, -7.523e-3, 3.127e-1, -1.4
3.090e+0, 3.136e-1, -7.275e-3, 3.137e-1, -1.3
