May 13, 2026   16:42:46
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.298
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.781e-1, 6.935e-2, 3.844e-1, 10.4
8.105e+3, 3.784e-1, 5.794e-2, 3.828e-1, 8.7
6.641e+3, 3.771e-1, 4.617e-2, 3.799e-1, 7.0
5.469e+3, 3.772e-1, 3.767e-2, 3.791e-1, 5.7
4.590e+3, 3.770e-1, 3.001e-2, 3.782e-1, 4.6
3.711e+3, 3.775e-1, 2.404e-2, 3.783e-1, 3.6
3.125e+3, 3.779e-1, 1.871e-2, 3.784e-1, 2.8
2.539e+3, 3.785e-1, 1.437e-2, 3.788e-1, 2.2
2.148e+3, 3.790e-1, 1.067e-2, 3.792e-1, 1.6
1.758e+3, 3.797e-1, 7.442e-3, 3.798e-1, 1.1
1.465e+3, 3.807e-1, 4.683e-3, 3.807e-1, 0.7
1.172e+3, 3.816e-1, 2.626e-3, 3.816e-1, 0.4
9.668e+2, 3.824e-1, 1.121e-3, 3.824e-1, 0.2
8.105e+2, 3.832e-1, -2.487e-4, 3.832e-1, -0.0
6.641e+2, 3.841e-1, -1.577e-3, 3.841e-1, -0.2
5.469e+2, 3.851e-1, -2.808e-3, 3.851e-1, -0.4
4.590e+2, 3.861e-1, -3.852e-3, 3.861e-1, -0.6
3.711e+2, 3.872e-1, -4.698e-3, 3.872e-1, -0.7
3.125e+2, 3.883e-1, -5.354e-3, 3.883e-1, -0.8
2.539e+2, 3.894e-1, -5.867e-3, 3.894e-1, -0.9
2.148e+2, 3.904e-1, -6.220e-3, 3.905e-1, -0.9
1.758e+2, 3.915e-1, -6.460e-3, 3.915e-1, -0.9
1.465e+2, 3.926e-1, -6.644e-3, 3.926e-1, -1.0
1.172e+2, 3.936e-1, -6.092e-3, 3.937e-1, -0.9
9.766e+1, 3.947e-1, -5.311e-3, 3.947e-1, -0.8
8.138e+1, 3.956e-1, -5.265e-3, 3.957e-1, -0.8
6.975e+1, 3.966e-1, -5.721e-3, 3.966e-1, -0.8
5.744e+1, 3.974e-1, -6.442e-3, 3.975e-1, -0.9
4.650e+1, 3.983e-1, -7.104e-3, 3.984e-1, -1.0
3.756e+1, 3.991e-1, -7.634e-3, 3.992e-1, -1.1
