May 12, 2026   18:38:31
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.33
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.001
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.007e-1, 1.182e-1, 3.231e-1, 21.5
8.105e+3, 3.013e-1, 9.719e-2, 3.165e-1, 17.9
6.641e+3, 2.995e-1, 7.935e-2, 3.098e-1, 14.8
5.469e+3, 2.997e-1, 6.507e-2, 3.066e-1, 12.3
4.590e+3, 2.992e-1, 5.278e-2, 3.038e-1, 10.0
3.711e+3, 2.999e-1, 4.244e-2, 3.029e-1, 8.1
3.125e+3, 3.004e-1, 3.400e-2, 3.023e-1, 6.5
2.539e+3, 3.011e-1, 2.715e-2, 3.023e-1, 5.2
2.148e+3, 3.016e-1, 2.146e-2, 3.024e-1, 4.1
1.758e+3, 3.025e-1, 1.654e-2, 3.030e-1, 3.1
1.465e+3, 3.033e-1, 1.208e-2, 3.035e-1, 2.3
1.172e+3, 3.041e-1, 7.869e-3, 3.042e-1, 1.5
9.668e+2, 3.050e-1, 4.536e-3, 3.050e-1, 0.9
8.105e+2, 3.059e-1, 2.046e-3, 3.059e-1, 0.4
6.641e+2, 3.069e-1, 1.864e-4, 3.069e-1, 0.0
5.469e+2, 3.078e-1, -1.266e-3, 3.078e-1, -0.2
4.590e+2, 3.089e-1, -2.465e-3, 3.089e-1, -0.5
3.711e+2, 3.099e-1, -3.486e-3, 3.099e-1, -0.6
3.125e+2, 3.109e-1, -4.343e-3, 3.110e-1, -0.8
2.539e+2, 3.120e-1, -4.997e-3, 3.120e-1, -0.9
2.148e+2, 3.130e-1, -5.454e-3, 3.131e-1, -1.0
1.758e+2, 3.141e-1, -5.809e-3, 3.142e-1, -1.1
1.465e+2, 3.152e-1, -6.061e-3, 3.153e-1, -1.1
1.172e+2, 3.162e-1, -5.614e-3, 3.163e-1, -1.0
9.766e+1, 3.171e-1, -4.937e-3, 3.172e-1, -0.9
8.138e+1, 3.180e-1, -4.844e-3, 3.180e-1, -0.9
6.975e+1, 3.188e-1, -5.193e-3, 3.188e-1, -0.9
5.744e+1, 3.196e-1, -5.837e-3, 3.196e-1, -1.0
4.650e+1, 3.204e-1, -6.457e-3, 3.204e-1, -1.2
3.756e+1, 3.211e-1, -6.973e-3, 3.212e-1, -1.2
3.150e+1, 3.219e-1, -7.368e-3, 3.220e-1, -1.3
2.570e+1, 3.227e-1, -7.672e-3, 3.228e-1, -1.4
2.123e+1, 3.235e-1, -7.905e-3, 3.236e-1, -1.4
1.744e+1, 3.243e-1, -8.087e-3, 3.244e-1, -1.4
1.436e+1, 3.251e-1, -8.276e-3, 3.252e-1, -1.5
1.191e+1, 3.259e-1, -7.584e-3, 3.260e-1, -1.3
9.766e+0, 3.267e-1, -6.392e-3, 3.267e-1, -1.1
8.071e+0, 3.274e-1, -5.750e-3, 3.275e-1, -1.0
6.643e+0, 3.282e-1, -5.594e-3, 3.282e-1, -1.0
5.486e+0, 3.290e-1, -5.808e-3, 3.290e-1, -1.0
4.542e+0, 3.297e-1, -6.066e-3, 3.298e-1, -1.1
3.742e+0, 3.305e-1, -6.071e-3, 3.305e-1, -1.1
3.090e+0, 3.312e-1, -5.927e-3, 3.313e-1, -1.0
2.550e+0, 3.321e-1, -6.053e-3, 3.321e-1, -1.0
2.105e+0, 3.329e-1, -6.437e-3, 3.330e-1, -1.1
1.738e+0, 3.338e-1, -6.790e-3, 3.339e-1, -1.2
1.434e+0, 3.347e-1, -7.145e-3, 3.348e-1, -1.2
1.184e+0, 3.356e-1, -7.327e-3, 3.356e-1, -1.3
9.766e-1, 3.362e-1, -7.392e-3, 3.363e-1, -1.3
8.071e-1, 3.370e-1, -7.795e-3, 3.371e-1, -1.3
6.643e-1, 3.379e-1, -8.405e-3, 3.380e-1, -1.4
5.486e-1, 3.388e-1, -9.272e-3, 3.390e-1, -1.6
4.542e-1, 3.397e-1, -1.030e-2, 3.399e-1, -1.7
3.742e-1, 3.406e-1, -1.144e-2, 3.408e-1, -1.9
3.090e-1, 3.414e-1, -1.272e-2, 3.416e-1, -2.1
2.550e-1, 3.424e-1, -1.414e-2, 3.426e-1, -2.4
2.105e-1, 3.435e-1, -1.576e-2, 3.438e-1, -2.6
1.738e-1, 3.447e-1, -1.756e-2, 3.451e-1, -2.9
1.434e-1, 3.462e-1, -1.965e-2, 3.468e-1, -3.2
1.184e-1, 3.483e-1, -2.189e-2, 3.490e-1, -3.6
9.766e-2, 3.505e-1, -2.437e-2, 3.513e-1, -4.0
8.071e-2, 3.525e-1, -2.729e-2, 3.535e-1, -4.4
6.643e-2, 3.548e-1, -3.041e-2, 3.561e-1, -4.9
5.486e-2, 3.572e-1, -3.357e-2, 3.588e-1, -5.4
4.542e-2, 3.604e-1, -3.739e-2, 3.623e-1, -5.9
3.742e-2, 3.644e-1, -4.196e-2, 3.668e-1, -6.6
3.090e-2, 3.685e-1, -4.701e-2, 3.714e-1, -7.3
2.550e-2, 3.728e-1, -5.249e-2, 3.764e-1, -8.0
2.105e-2, 3.779e-1, -5.868e-2, 3.824e-1, -8.8
1.738e-2, 3.841e-1, -6.564e-2, 3.897e-1, -9.7
1.434e-2, 3.916e-1, -7.333e-2, 3.984e-1, -10.6
1.184e-2, 4.005e-1, -8.201e-2, 4.089e-1, -11.6
