May 12, 2026   17:55:14
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.33
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.001
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.023e-1, 1.181e-1, 3.245e-1, 21.3
8.105e+3, 3.029e-1, 9.710e-2, 3.181e-1, 17.8
6.641e+3, 3.010e-1, 7.967e-2, 3.113e-1, 14.8
5.469e+3, 3.009e-1, 6.503e-2, 3.079e-1, 12.2
4.590e+3, 3.004e-1, 5.278e-2, 3.050e-1, 10.0
3.711e+3, 3.012e-1, 4.246e-2, 3.041e-1, 8.0
3.125e+3, 3.017e-1, 3.411e-2, 3.037e-1, 6.4
2.539e+3, 3.025e-1, 2.716e-2, 3.037e-1, 5.1
2.148e+3, 3.031e-1, 2.139e-2, 3.038e-1, 4.0
1.758e+3, 3.040e-1, 1.650e-2, 3.045e-1, 3.1
1.465e+3, 3.048e-1, 1.211e-2, 3.050e-1, 2.3
1.172e+3, 3.055e-1, 7.976e-3, 3.056e-1, 1.5
9.668e+2, 3.063e-1, 4.668e-3, 3.064e-1, 0.9
8.105e+2, 3.073e-1, 2.117e-3, 3.073e-1, 0.4
6.641e+2, 3.083e-1, 1.425e-4, 3.083e-1, 0.0
5.469e+2, 3.092e-1, -1.381e-3, 3.092e-1, -0.3
4.590e+2, 3.103e-1, -2.560e-3, 3.103e-1, -0.5
3.711e+2, 3.113e-1, -3.527e-3, 3.113e-1, -0.6
3.125e+2, 3.123e-1, -4.332e-3, 3.124e-1, -0.8
2.539e+2, 3.134e-1, -4.984e-3, 3.134e-1, -0.9
2.148e+2, 3.144e-1, -5.426e-3, 3.145e-1, -1.0
1.758e+2, 3.155e-1, -5.766e-3, 3.155e-1, -1.0
1.465e+2, 3.166e-1, -6.029e-3, 3.166e-1, -1.1
1.172e+2, 3.176e-1, -5.592e-3, 3.177e-1, -1.0
9.766e+1, 3.185e-1, -4.914e-3, 3.186e-1, -0.9
8.138e+1, 3.194e-1, -4.871e-3, 3.194e-1, -0.9
6.975e+1, 3.202e-1, -5.284e-3, 3.203e-1, -0.9
5.744e+1, 3.210e-1, -5.897e-3, 3.211e-1, -1.1
4.650e+1, 3.218e-1, -6.480e-3, 3.218e-1, -1.2
3.756e+1, 3.225e-1, -6.975e-3, 3.226e-1, -1.2
3.150e+1, 3.234e-1, -7.365e-3, 3.234e-1, -1.3
2.570e+1, 3.242e-1, -7.683e-3, 3.243e-1, -1.4
2.123e+1, 3.249e-1, -7.938e-3, 3.250e-1, -1.4
1.744e+1, 3.257e-1, -8.142e-3, 3.258e-1, -1.4
1.436e+1, 3.265e-1, -8.298e-3, 3.266e-1, -1.5
1.191e+1, 3.273e-1, -7.563e-3, 3.274e-1, -1.3
9.766e+0, 3.280e-1, -6.337e-3, 3.281e-1, -1.1
8.071e+0, 3.288e-1, -5.672e-3, 3.288e-1, -1.0
6.643e+0, 3.296e-1, -5.515e-3, 3.296e-1, -1.0
5.486e+0, 3.303e-1, -5.837e-3, 3.304e-1, -1.0
4.542e+0, 3.311e-1, -6.249e-3, 3.311e-1, -1.1
3.742e+0, 3.319e-1, -6.270e-3, 3.320e-1, -1.1
3.090e+0, 3.328e-1, -6.067e-3, 3.328e-1, -1.0
2.550e+0, 3.336e-1, -6.146e-3, 3.336e-1, -1.1
2.105e+0, 3.345e-1, -6.387e-3, 3.345e-1, -1.1
1.738e+0, 3.355e-1, -6.731e-3, 3.356e-1, -1.1
1.434e+0, 3.362e-1, -7.093e-3, 3.363e-1, -1.2
1.184e+0, 3.369e-1, -7.151e-3, 3.369e-1, -1.2
9.766e-1, 3.376e-1, -7.187e-3, 3.377e-1, -1.2
8.071e-1, 3.384e-1, -7.600e-3, 3.384e-1, -1.3
6.643e-1, 3.391e-1, -8.320e-3, 3.392e-1, -1.4
