May 12, 2026   17:42:19
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.33
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.001
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.028e-1, 1.175e-1, 3.248e-1, 21.2
8.105e+3, 3.034e-1, 9.679e-2, 3.185e-1, 17.7
6.641e+3, 3.016e-1, 7.913e-2, 3.118e-1, 14.7
5.469e+3, 3.017e-1, 6.478e-2, 3.086e-1, 12.1
4.590e+3, 3.013e-1, 5.255e-2, 3.058e-1, 9.9
3.711e+3, 3.019e-1, 4.230e-2, 3.049e-1, 8.0
3.125e+3, 3.024e-1, 3.396e-2, 3.043e-1, 6.4
2.539e+3, 3.031e-1, 2.707e-2, 3.043e-1, 5.1
2.148e+3, 3.038e-1, 2.127e-2, 3.045e-1, 4.0
1.758e+3, 3.048e-1, 1.640e-2, 3.052e-1, 3.1
1.465e+3, 3.055e-1, 1.201e-2, 3.057e-1, 2.3
1.172e+3, 3.062e-1, 7.812e-3, 3.063e-1, 1.5
9.668e+2, 3.071e-1, 4.525e-3, 3.071e-1, 0.8
8.105e+2, 3.080e-1, 2.049e-3, 3.080e-1, 0.4
6.641e+2, 3.090e-1, 2.061e-4, 3.090e-1, 0.0
5.469e+2, 3.099e-1, -1.256e-3, 3.099e-1, -0.2
4.590e+2, 3.109e-1, -2.498e-3, 3.109e-1, -0.5
3.711e+2, 3.119e-1, -3.520e-3, 3.120e-1, -0.6
3.125e+2, 3.130e-1, -4.319e-3, 3.130e-1, -0.8
2.539e+2, 3.141e-1, -4.925e-3, 3.141e-1, -0.9
2.148e+2, 3.152e-1, -5.396e-3, 3.152e-1, -1.0
1.758e+2, 3.162e-1, -5.831e-3, 3.163e-1, -1.1
1.465e+2, 3.172e-1, -6.139e-3, 3.173e-1, -1.1
1.172e+2, 3.182e-1, -5.677e-3, 3.183e-1, -1.0
9.766e+1, 3.191e-1, -4.943e-3, 3.191e-1, -0.9
8.138e+1, 3.200e-1, -4.854e-3, 3.200e-1, -0.9
6.975e+1, 3.208e-1, -5.249e-3, 3.208e-1, -0.9
5.744e+1, 3.216e-1, -5.892e-3, 3.216e-1, -1.0
4.650e+1, 3.224e-1, -6.489e-3, 3.225e-1, -1.2
3.756e+1, 3.232e-1, -6.995e-3, 3.233e-1, -1.2
3.150e+1, 3.240e-1, -7.387e-3, 3.241e-1, -1.3
2.570e+1, 3.248e-1, -7.684e-3, 3.249e-1, -1.4
2.123e+1, 3.256e-1, -7.921e-3, 3.257e-1, -1.4
1.744e+1, 3.264e-1, -8.144e-3, 3.265e-1, -1.4
1.436e+1, 3.272e-1, -8.313e-3, 3.273e-1, -1.5
1.191e+1, 3.279e-1, -7.548e-3, 3.280e-1, -1.3
9.766e+0, 3.286e-1, -6.303e-3, 3.287e-1, -1.1
8.071e+0, 3.294e-1, -5.695e-3, 3.294e-1, -1.0
6.643e+0, 3.301e-1, -5.641e-3, 3.301e-1, -1.0
5.486e+0, 3.308e-1, -5.937e-3, 3.309e-1, -1.0
4.542e+0, 3.317e-1, -6.326e-3, 3.318e-1, -1.1
3.742e+0, 3.326e-1, -6.393e-3, 3.326e-1, -1.1
3.090e+0, 3.333e-1, -6.191e-3, 3.334e-1, -1.1
2.550e+0, 3.342e-1, -6.187e-3, 3.342e-1, -1.1
2.105e+0, 3.349e-1, -6.387e-3, 3.350e-1, -1.1
1.738e+0, 3.358e-1, -6.705e-3, 3.358e-1, -1.1
1.434e+0, 3.366e-1, -7.078e-3, 3.366e-1, -1.2
1.184e+0, 3.374e-1, -7.239e-3, 3.375e-1, -1.2
9.766e-1, 3.382e-1, -7.263e-3, 3.383e-1, -1.2
8.071e-1, 3.389e-1, -7.629e-3, 3.389e-1, -1.3
6.643e-1, 3.396e-1, -8.357e-3, 3.397e-1, -1.4
5.486e-1, 3.405e-1, -9.344e-3, 3.406e-1, -1.6
4.542e-1, 3.416e-1, -1.031e-2, 3.418e-1, -1.7
3.742e-1, 3.428e-1, -1.129e-2, 3.430e-1, -1.9
3.090e-1, 3.440e-1, -1.260e-2, 3.442e-1, -2.1
2.550e-1, 3.451e-1, -1.411e-2, 3.454e-1, -2.3
2.105e-1, 3.461e-1, -1.574e-2, 3.465e-1, -2.6
1.738e-1, 3.474e-1, -1.757e-2, 3.478e-1, -2.9
1.434e-1, 3.490e-1, -1.945e-2, 3.496e-1, -3.2
1.184e-1, 3.509e-1, -2.139e-2, 3.516e-1, -3.5
9.766e-2, 3.528e-1, -2.382e-2, 3.536e-1, -3.9
8.071e-2, 3.548e-1, -2.672e-2, 3.558e-1, -4.3
6.643e-2, 3.571e-1, -2.983e-2, 3.583e-1, -4.8
5.486e-2, 3.597e-1, -3.303e-2, 3.613e-1, -5.2
4.542e-2, 3.626e-1, -3.654e-2, 3.644e-1, -5.8
3.742e-2, 3.665e-1, -4.096e-2, 3.688e-1, -6.4
3.090e-2, 3.708e-1, -4.605e-2, 3.736e-1, -7.1
2.550e-2, 3.752e-1, -5.134e-2, 3.787e-1, -7.8
2.105e-2, 3.803e-1, -5.730e-2, 3.846e-1, -8.6
1.738e-2, 3.864e-1, -6.418e-2, 3.917e-1, -9.4
1.434e-2, 3.939e-1, -7.155e-2, 4.003e-1, -10.3
1.184e-2, 4.024e-1, -7.934e-2, 4.101e-1, -11.2
