May 12, 2026   13:28:31
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.265
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.046e-1, 7.435e-2, 3.135e-1, 13.7
8.105e+3, 3.050e-1, 6.344e-2, 3.116e-1, 11.7
6.641e+3, 3.036e-1, 4.923e-2, 3.075e-1, 9.2
5.469e+3, 3.040e-1, 4.113e-2, 3.067e-1, 7.7
4.590e+3, 3.030e-1, 3.254e-2, 3.048e-1, 6.1
3.711e+3, 3.028e-1, 2.634e-2, 3.040e-1, 5.0
3.125e+3, 3.030e-1, 2.078e-2, 3.038e-1, 3.9
2.539e+3, 3.033e-1, 1.675e-2, 3.037e-1, 3.2
2.148e+3, 3.032e-1, 1.269e-2, 3.035e-1, 2.4
1.758e+3, 3.039e-1, 8.940e-3, 3.041e-1, 1.7
1.465e+3, 3.052e-1, 5.658e-3, 3.053e-1, 1.1
1.172e+3, 3.066e-1, 3.326e-3, 3.066e-1, 0.6
9.668e+2, 3.081e-1, 1.995e-3, 3.081e-1, 0.4
8.105e+2, 3.094e-1, 6.087e-4, 3.094e-1, 0.1
6.641e+2, 3.106e-1, -7.846e-4, 3.106e-1, -0.1
5.469e+2, 3.117e-1, -1.880e-3, 3.117e-1, -0.3
4.590e+2, 3.123e-1, -3.097e-3, 3.123e-1, -0.6
3.711e+2, 3.130e-1, -4.092e-3, 3.131e-1, -0.7
3.125e+2, 3.139e-1, -4.740e-3, 3.140e-1, -0.9
2.539e+2, 3.148e-1, -5.167e-3, 3.148e-1, -0.9
2.148e+2, 3.158e-1, -5.531e-3, 3.159e-1, -1.0
1.758e+2, 3.170e-1, -6.012e-3, 3.171e-1, -1.1
1.465e+2, 3.183e-1, -6.111e-3, 3.184e-1, -1.1
1.172e+2, 3.191e-1, -5.344e-3, 3.191e-1, -1.0
9.766e+1, 3.197e-1, -4.559e-3, 3.197e-1, -0.8
8.138e+1, 3.203e-1, -4.414e-3, 3.203e-1, -0.8
6.975e+1, 3.209e-1, -4.757e-3, 3.209e-1, -0.8
5.744e+1, 3.216e-1, -5.305e-3, 3.216e-1, -0.9
4.650e+1, 3.223e-1, -5.788e-3, 3.223e-1, -1.0
3.756e+1, 3.229e-1, -6.134e-3, 3.230e-1, -1.1
3.150e+1, 3.235e-1, -6.346e-3, 3.236e-1, -1.1
2.570e+1, 3.241e-1, -6.457e-3, 3.242e-1, -1.1
2.123e+1, 3.247e-1, -6.508e-3, 3.248e-1, -1.1
1.744e+1, 3.253e-1, -6.518e-3, 3.253e-1, -1.1
1.436e+1, 3.258e-1, -6.513e-3, 3.259e-1, -1.1
1.191e+1, 3.263e-1, -5.883e-3, 3.264e-1, -1.0
9.766e+0, 3.268e-1, -4.885e-3, 3.268e-1, -0.9
8.071e+0, 3.272e-1, -4.288e-3, 3.273e-1, -0.8
6.643e+0, 3.277e-1, -4.051e-3, 3.277e-1, -0.7
5.486e+0, 3.281e-1, -4.076e-3, 3.281e-1, -0.7
4.542e+0, 3.284e-1, -4.156e-3, 3.285e-1, -0.7
3.742e+0, 3.288e-1, -3.959e-3, 3.288e-1, -0.7
3.090e+0, 3.291e-1, -3.592e-3, 3.291e-1, -0.6
2.550e+0, 3.294e-1, -3.467e-3, 3.294e-1, -0.6
2.105e+0, 3.297e-1, -3.519e-3, 3.297e-1, -0.6
1.738e+0, 3.300e-1, -3.693e-3, 3.300e-1, -0.6
1.434e+0, 3.302e-1, -3.966e-3, 3.302e-1, -0.7
1.184e+0, 3.304e-1, -3.879e-3, 3.304e-1, -0.7
9.766e-1, 3.305e-1, -3.613e-3, 3.306e-1, -0.6
8.071e-1, 3.307e-1, -3.728e-3, 3.307e-1, -0.6
6.643e-1, 3.308e-1, -4.162e-3, 3.308e-1, -0.7
5.486e-1, 3.309e-1, -4.735e-3, 3.310e-1, -0.8
4.542e-1, 3.311e-1, -5.321e-3, 3.311e-1, -0.9
3.742e-1, 3.313e-1, -5.998e-3, 3.314e-1, -1.0
3.090e-1, 3.316e-1, -6.736e-3, 3.317e-1, -1.2
2.550e-1, 3.321e-1, -7.528e-3, 3.322e-1, -1.3
2.105e-1, 3.326e-1, -8.365e-3, 3.327e-1, -1.4
1.738e-1, 3.333e-1, -9.270e-3, 3.334e-1, -1.6
1.434e-1, 3.343e-1, -1.026e-2, 3.345e-1, -1.8
1.184e-1, 3.356e-1, -1.138e-2, 3.358e-1, -1.9
9.766e-2, 3.371e-1, -1.266e-2, 3.373e-1, -2.2
8.071e-2, 3.389e-1, -1.402e-2, 3.392e-1, -2.4
6.643e-2, 3.410e-1, -1.552e-2, 3.413e-1, -2.6
5.486e-2, 3.430e-1, -1.696e-2, 3.434e-1, -2.8
4.542e-2, 3.448e-1, -1.862e-2, 3.453e-1, -3.1
3.742e-2, 3.470e-1, -2.077e-2, 3.477e-1, -3.4
3.090e-2, 3.498e-1, -2.319e-2, 3.506e-1, -3.8
2.550e-2, 3.532e-1, -2.592e-2, 3.542e-1, -4.2
2.105e-2, 3.572e-1, -2.890e-2, 3.583e-1, -4.6
1.738e-2, 3.616e-1, -3.194e-2, 3.630e-1, -5.0
1.434e-2, 3.666e-1, -3.487e-2, 3.682e-1, -5.4
1.184e-2, 3.720e-1, -3.765e-2, 3.739e-1, -5.8
