May 12, 2026   14:02:57
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.3
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.255e-1, 6.928e-2, 3.328e-1, 12.0
8.105e+3, 3.256e-1, 5.788e-2, 3.307e-1, 10.1
6.641e+3, 3.276e-1, 4.549e-2, 3.307e-1, 7.9
5.469e+3, 3.265e-1, 3.873e-2, 3.288e-1, 6.8
4.590e+3, 3.260e-1, 3.133e-2, 3.275e-1, 5.5
3.711e+3, 3.258e-1, 2.472e-2, 3.267e-1, 4.3
3.125e+3, 3.260e-1, 1.863e-2, 3.265e-1, 3.3
2.539e+3, 3.256e-1, 1.409e-2, 3.259e-1, 2.5
2.148e+3, 3.263e-1, 1.014e-2, 3.264e-1, 1.8
1.758e+3, 3.277e-1, 6.743e-3, 3.278e-1, 1.2
1.465e+3, 3.293e-1, 4.477e-3, 3.294e-1, 0.8
1.172e+3, 3.296e-1, 3.187e-3, 3.297e-1, 0.6
9.668e+2, 3.296e-1, 1.945e-3, 3.296e-1, 0.3
8.105e+2, 3.304e-1, 3.428e-4, 3.304e-1, 0.1
6.641e+2, 3.318e-1, -1.016e-3, 3.318e-1, -0.2
5.469e+2, 3.330e-1, -1.385e-3, 3.330e-1, -0.2
4.590e+2, 3.337e-1, -2.260e-3, 3.337e-1, -0.4
3.711e+2, 3.346e-1, -3.969e-3, 3.347e-1, -0.7
3.125e+2, 3.353e-1, -5.174e-3, 3.353e-1, -0.9
2.539e+2, 3.355e-1, -5.804e-3, 3.356e-1, -1.0
2.148e+2, 3.366e-1, -6.376e-3, 3.367e-1, -1.1
1.758e+2, 3.382e-1, -6.917e-3, 3.383e-1, -1.2
1.465e+2, 3.399e-1, -6.610e-3, 3.399e-1, -1.1
1.172e+2, 3.410e-1, -5.401e-3, 3.411e-1, -0.9
9.766e+1, 3.424e-1, -4.539e-3, 3.424e-1, -0.8
8.138e+1, 3.434e-1, -4.474e-3, 3.434e-1, -0.7
6.975e+1, 3.444e-1, -5.034e-3, 3.444e-1, -0.8
5.744e+1, 3.452e-1, -5.749e-3, 3.453e-1, -1.0
4.650e+1, 3.460e-1, -6.378e-3, 3.461e-1, -1.1
3.756e+1, 3.468e-1, -6.791e-3, 3.468e-1, -1.1
3.150e+1, 3.475e-1, -7.026e-3, 3.476e-1, -1.2
