May 12, 2026   13:52:29
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 3.215
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 3.445e-1, 7.439e-2, 3.524e-1, 12.2
8.105e+3, 3.429e-1, 6.522e-2, 3.490e-1, 10.8
6.641e+3, 3.464e-1, 4.549e-2, 3.494e-1, 7.5
5.469e+3, 3.456e-1, 3.976e-2, 3.479e-1, 6.6
4.590e+3, 3.442e-1, 2.945e-2, 3.455e-1, 4.9
3.711e+3, 3.423e-1, 2.392e-2, 3.432e-1, 4.0
3.125e+3, 3.434e-1, 1.909e-2, 3.439e-1, 3.2
2.539e+3, 3.436e-1, 1.600e-2, 3.439e-1, 2.7
2.148e+3, 3.442e-1, 1.148e-2, 3.444e-1, 1.9
1.758e+3, 3.453e-1, 6.249e-3, 3.454e-1, 1.0
1.465e+3, 3.469e-1, 2.826e-3, 3.469e-1, 0.5
1.172e+3, 3.473e-1, 1.782e-3, 3.473e-1, 0.3
9.668e+2, 3.474e-1, 2.830e-3, 3.474e-1, 0.5
8.105e+2, 3.485e-1, 2.118e-3, 3.485e-1, 0.3
6.641e+2, 3.501e-1, -2.807e-4, 3.501e-1, -0.0
5.469e+2, 3.517e-1, -1.671e-3, 3.517e-1, -0.3
4.590e+2, 3.510e-1, -4.107e-3, 3.510e-1, -0.7
3.711e+2, 3.505e-1, -5.122e-3, 3.505e-1, -0.8
3.125e+2, 3.515e-1, -4.826e-3, 3.516e-1, -0.8
2.539e+2, 3.520e-1, -4.751e-3, 3.521e-1, -0.8
2.148e+2, 3.531e-1, -6.008e-3, 3.532e-1, -1.0
1.758e+2, 3.547e-1, -8.509e-3, 3.548e-1, -1.4
1.465e+2, 3.562e-1, -9.126e-3, 3.563e-1, -1.5
1.172e+2, 3.572e-1, -7.133e-3, 3.572e-1, -1.1
9.766e+1, 3.590e-1, -5.107e-3, 3.590e-1, -0.8
8.138e+1, 3.603e-1, -4.237e-3, 3.603e-1, -0.7
6.975e+1, 3.615e-1, -4.452e-3, 3.615e-1, -0.7
5.744e+1, 3.622e-1, -5.128e-3, 3.622e-1, -0.8
4.650e+1, 3.629e-1, -5.815e-3, 3.629e-1, -0.9
3.756e+1, 3.635e-1, -6.279e-3, 3.636e-1, -1.0
3.150e+1, 3.642e-1, -6.525e-3, 3.642e-1, -1.0
2.570e+1, 3.648e-1, -6.639e-3, 3.649e-1, -1.0
2.123e+1, 3.653e-1, -6.624e-3, 3.654e-1, -1.0
1.744e+1, 3.659e-1, -6.620e-3, 3.659e-1, -1.0
1.436e+1, 3.665e-1, -6.673e-3, 3.665e-1, -1.0
1.191e+1, 3.670e-1, -6.096e-3, 3.670e-1, -1.0
9.766e+0, 3.676e-1, -5.137e-3, 3.677e-1, -0.8
8.071e+0, 3.682e-1, -4.534e-3, 3.682e-1, -0.7
6.643e+0, 3.688e-1, -4.297e-3, 3.688e-1, -0.7
5.486e+0, 3.693e-1, -4.355e-3, 3.693e-1, -0.7
4.542e+0, 3.697e-1, -4.468e-3, 3.697e-1, -0.7
3.742e+0, 3.700e-1, -4.240e-3, 3.700e-1, -0.7
3.090e+0, 3.704e-1, -3.820e-3, 3.704e-1, -0.6
2.550e+0, 3.708e-1, -3.668e-3, 3.708e-1, -0.6
2.105e+0, 3.713e-1, -3.717e-3, 3.713e-1, -0.6
1.738e+0, 3.717e-1, -3.887e-3, 3.718e-1, -0.6
1.434e+0, 3.721e-1, -4.165e-3, 3.721e-1, -0.6
1.184e+0, 3.724e-1, -4.093e-3, 3.724e-1, -0.6
9.766e-1, 3.727e-1, -3.835e-3, 3.727e-1, -0.6
8.071e-1, 3.729e-1, -3.987e-3, 3.729e-1, -0.6
6.643e-1, 3.731e-1, -4.500e-3, 3.731e-1, -0.7
5.486e-1, 3.734e-1, -5.164e-3, 3.734e-1, -0.8
4.542e-1, 3.736e-1, -5.840e-3, 3.737e-1, -0.9
3.742e-1, 3.739e-1, -6.565e-3, 3.740e-1, -1.0
3.090e-1, 3.744e-1, -7.355e-3, 3.744e-1, -1.1
2.550e-1, 3.749e-1, -8.234e-3, 3.750e-1, -1.3
2.105e-1, 3.755e-1, -9.193e-3, 3.756e-1, -1.4
1.738e-1, 3.762e-1, -1.022e-2, 3.763e-1, -1.6
1.434e-1, 3.770e-1, -1.133e-2, 3.772e-1, -1.7
1.184e-1, 3.780e-1, -1.261e-2, 3.782e-1, -1.9
9.766e-2, 3.791e-1, -1.387e-2, 3.793e-1, -2.1
8.071e-2, 3.803e-1, -1.520e-2, 3.806e-1, -2.3
6.643e-2, 3.819e-1, -1.673e-2, 3.822e-1, -2.5
