May 18, 2026   22:43:10
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.669
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 4.154e-1, 7.379e-2, 4.219e-1, 10.1
8.105e+3, 4.153e-1, 6.150e-2, 4.198e-1, 8.4
6.641e+3, 4.140e-1, 4.905e-2, 4.169e-1, 6.8
5.469e+3, 4.142e-1, 3.985e-2, 4.161e-1, 5.5
4.590e+3, 4.141e-1, 3.165e-2, 4.153e-1, 4.4
3.711e+3, 4.146e-1, 2.519e-2, 4.153e-1, 3.5
3.125e+3, 4.150e-1, 1.945e-2, 4.155e-1, 2.7
2.539e+3, 4.157e-1, 1.468e-2, 4.160e-1, 2.0
2.148e+3, 4.163e-1, 1.063e-2, 4.165e-1, 1.5
1.758e+3, 4.171e-1, 7.059e-3, 4.172e-1, 1.0
1.465e+3, 4.182e-1, 3.935e-3, 4.182e-1, 0.5
1.172e+3, 4.192e-1, 1.416e-3, 4.192e-1, 0.2
9.668e+2, 4.201e-1, -5.682e-4, 4.201e-1, -0.1
8.105e+2, 4.210e-1, -2.310e-3, 4.210e-1, -0.3
6.641e+2, 4.220e-1, -3.959e-3, 4.221e-1, -0.5
5.469e+2, 4.231e-1, -5.523e-3, 4.232e-1, -0.7
4.590e+2, 4.244e-1, -6.955e-3, 4.245e-1, -0.9
3.711e+2, 4.257e-1, -8.269e-3, 4.258e-1, -1.1
3.125e+2, 4.271e-1, -9.509e-3, 4.272e-1, -1.3
2.539e+2, 4.285e-1, -1.069e-2, 4.286e-1, -1.4
2.148e+2, 4.299e-1, -1.182e-2, 4.301e-1, -1.6
1.758e+2, 4.315e-1, -1.292e-2, 4.317e-1, -1.7
1.465e+2, 4.333e-1, -1.406e-2, 4.335e-1, -1.9
1.172e+2, 4.354e-1, -1.445e-2, 4.356e-1, -1.9
9.766e+1, 4.376e-1, -1.458e-2, 4.378e-1, -1.9
8.138e+1, 4.399e-1, -1.555e-2, 4.402e-1, -2.0
6.975e+1, 4.424e-1, -1.707e-2, 4.427e-1, -2.2
5.744e+1, 4.449e-1, -1.882e-2, 4.453e-1, -2.4
4.650e+1, 4.476e-1, -2.039e-2, 4.481e-1, -2.6
3.756e+1, 4.504e-1, -2.168e-2, 4.509e-1, -2.8
3.150e+1, 4.532e-1, -2.264e-2, 4.538e-1, -2.9
2.570e+1, 4.561e-1, -2.337e-2, 4.567e-1, -2.9
2.123e+1, 4.589e-1, -2.392e-2, 4.596e-1, -3.0
1.744e+1, 4.618e-1, -2.437e-2, 4.624e-1, -3.0
1.436e+1, 4.645e-1, -2.472e-2, 4.652e-1, -3.0
1.191e+1, 4.683e-1, -2.387e-2, 4.689e-1, -2.9
9.766e+0, 4.727e-1, -2.241e-2, 4.732e-1, -2.7
8.071e+0, 4.764e-1, -2.182e-2, 4.769e-1, -2.6
6.643e+0, 4.797e-1, -2.203e-2, 4.802e-1, -2.6
5.486e+0, 4.824e-1, -2.286e-2, 4.830e-1, -2.7
4.542e+0, 4.852e-1, -2.388e-2, 4.858e-1, -2.8
3.742e+0, 4.881e-1, -2.452e-2, 4.887e-1, -2.9
3.090e+0, 4.912e-1, -2.490e-2, 4.918e-1, -2.9
2.550e+0, 4.944e-1, -2.570e-2, 4.951e-1, -3.0
2.105e+0, 4.982e-1, -2.670e-2, 4.989e-1, -3.1
1.738e+0, 5.022e-1, -2.791e-2, 5.030e-1, -3.2
1.434e+0, 5.060e-1, -2.946e-2, 5.068e-1, -3.3
1.184e+0, 5.095e-1, -3.064e-2, 5.104e-1, -3.4
9.766e-1, 5.129e-1, -3.175e-2, 5.139e-1, -3.5
8.071e-1, 5.162e-1, -3.362e-2, 5.173e-1, -3.7
6.643e-1, 5.196e-1, -3.621e-2, 5.209e-1, -4.0
5.486e-1, 5.232e-1, -3.930e-2, 5.246e-1, -4.3
4.542e-1, 5.269e-1, -4.275e-2, 5.287e-1, -4.6
3.742e-1, 5.310e-1, -4.670e-2, 5.330e-1, -5.0
3.090e-1, 5.353e-1, -5.122e-2, 5.377e-1, -5.5
2.550e-1, 5.398e-1, -5.639e-2, 5.428e-1, -6.0
2.105e-1, 5.448e-1, -6.231e-2, 5.483e-1, -6.5
1.738e-1, 5.501e-1, -6.909e-2, 5.544e-1, -7.2
1.434e-1, 5.557e-1, -7.688e-2, 5.610e-1, -7.9
1.184e-1, 5.618e-1, -8.583e-2, 5.683e-1, -8.7
9.766e-2, 5.683e-1, -9.608e-2, 5.763e-1, -9.6
8.071e-2, 5.753e-1, -1.080e-1, 5.853e-1, -10.6
6.643e-2, 5.830e-1, -1.220e-1, 5.956e-1, -11.8
5.486e-2, 5.913e-1, -1.377e-1, 6.071e-1, -13.1
4.542e-2, 6.001e-1, -1.560e-1, 6.201e-1, -14.6
3.742e-2, 6.095e-1, -1.781e-1, 6.350e-1, -16.3
3.090e-2, 6.193e-1, -2.045e-1, 6.522e-1, -18.3
