May 19, 2026   13:46:56
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.677
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 2.969e-1, 7.174e-2, 3.055e-1, 13.6
8.105e+3, 2.998e-1, 5.987e-2, 3.057e-1, 11.3
6.641e+3, 2.968e-1, 4.524e-2, 3.002e-1, 8.7
5.469e+3, 2.971e-1, 3.814e-2, 2.995e-1, 7.3
4.590e+3, 2.953e-1, 2.968e-2, 2.968e-1, 5.7
3.711e+3, 2.956e-1, 2.336e-2, 2.965e-1, 4.5
3.125e+3, 2.969e-1, 1.799e-2, 2.974e-1, 3.5
2.539e+3, 2.977e-1, 1.441e-2, 2.980e-1, 2.8
2.148e+3, 2.981e-1, 1.007e-2, 2.983e-1, 1.9
1.758e+3, 2.986e-1, 6.177e-3, 2.986e-1, 1.2
1.465e+3, 3.002e-1, 3.549e-3, 3.002e-1, 0.7
1.172e+3, 3.015e-1, 1.900e-3, 3.015e-1, 0.4
9.668e+2, 3.025e-1, 5.167e-4, 3.025e-1, 0.1
8.105e+2, 3.035e-1, -1.661e-3, 3.035e-1, -0.3
6.641e+2, 3.039e-1, -3.706e-3, 3.039e-1, -0.7
5.469e+2, 3.048e-1, -5.136e-3, 3.049e-1, -1.0
4.590e+2, 3.048e-1, -6.947e-3, 3.049e-1, -1.3
3.711e+2, 3.057e-1, -8.860e-3, 3.058e-1, -1.7
3.125e+2, 3.079e-1, -9.754e-3, 3.080e-1, -1.8
2.539e+2, 3.095e-1, -1.028e-2, 3.096e-1, -1.9
2.148e+2, 3.109e-1, -1.197e-2, 3.111e-1, -2.2
1.758e+2, 3.122e-1, -1.352e-2, 3.125e-1, -2.5
1.465e+2, 3.146e-1, -1.424e-2, 3.150e-1, -2.6
1.172e+2, 3.223e-1, -1.485e-2, 3.226e-1, -2.6
9.766e+1, 3.328e-1, -1.610e-2, 3.332e-1, -2.8
8.138e+1, 3.404e-1, -1.785e-2, 3.408e-1, -3.0
6.975e+1, 3.452e-1, -1.977e-2, 3.458e-1, -3.3
5.744e+1, 3.479e-1, -2.151e-2, 3.486e-1, -3.5
4.650e+1, 3.503e-1, -2.296e-2, 3.511e-1, -3.7
3.756e+1, 3.530e-1, -2.413e-2, 3.538e-1, -3.9
3.150e+1, 3.560e-1, -2.504e-2, 3.569e-1, -4.0
2.570e+1, 3.594e-1, -2.573e-2, 3.603e-1, -4.1
2.123e+1, 3.627e-1, -2.624e-2, 3.636e-1, -4.1
1.744e+1, 3.658e-1, -2.668e-2, 3.668e-1, -4.2
1.436e+1, 3.689e-1, -2.700e-2, 3.699e-1, -4.2
1.191e+1, 3.703e-1, -2.638e-2, 3.713e-1, -4.1
9.766e+0, 3.706e-1, -2.528e-2, 3.715e-1, -3.9
8.071e+0, 3.718e-1, -2.478e-2, 3.727e-1, -3.8
6.643e+0, 3.740e-1, -2.485e-2, 3.748e-1, -3.8
5.486e+0, 3.768e-1, -2.542e-2, 3.777e-1, -3.9
4.542e+0, 3.800e-1, -2.619e-2, 3.809e-1, -3.9
3.742e+0, 3.834e-1, -2.670e-2, 3.843e-1, -4.0
3.090e+0, 3.869e-1, -2.708e-2, 3.878e-1, -4.0
2.550e+0, 3.904e-1, -2.781e-2, 3.914e-1, -4.1
2.105e+0, 3.942e-1, -2.876e-2, 3.953e-1, -4.2
1.738e+0, 3.983e-1, -2.995e-2, 3.994e-1, -4.3
1.434e+0, 4.021e-1, -3.142e-2, 4.034e-1, -4.5
1.184e+0, 4.059e-1, -3.262e-2, 4.072e-1, -4.6
9.766e-1, 4.096e-1, -3.388e-2, 4.110e-1, -4.7
