May 18, 2026   21:21:02
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.667
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 4.188e-1, 6.989e-2, 4.246e-1, 9.5
8.105e+3, 4.192e-1, 5.871e-2, 4.233e-1, 8.0
6.641e+3, 4.182e-1, 4.694e-2, 4.208e-1, 6.4
5.469e+3, 4.182e-1, 3.805e-2, 4.200e-1, 5.2
4.590e+3, 4.181e-1, 3.023e-2, 4.192e-1, 4.1
3.711e+3, 4.187e-1, 2.403e-2, 4.193e-1, 3.3
3.125e+3, 4.192e-1, 1.835e-2, 4.196e-1, 2.5
2.539e+3, 4.199e-1, 1.365e-2, 4.201e-1, 1.9
2.148e+3, 4.205e-1, 9.745e-3, 4.206e-1, 1.3
1.758e+3, 4.212e-1, 6.375e-3, 4.212e-1, 0.9
1.465e+3, 4.220e-1, 3.386e-3, 4.221e-1, 0.5
1.172e+3, 4.231e-1, 1.508e-4, 4.231e-1, 0.0
9.668e+2, 4.240e-1, -2.894e-3, 4.240e-1, -0.4
8.105e+2, 4.249e-1, -5.046e-3, 4.249e-1, -0.7
6.641e+2, 4.260e-1, -6.582e-3, 4.260e-1, -0.9
5.469e+2, 4.271e-1, -7.678e-3, 4.272e-1, -1.0
4.590e+2, 4.283e-1, -8.653e-3, 4.284e-1, -1.2
3.711e+2, 4.297e-1, -9.612e-3, 4.298e-1, -1.3
3.125e+2, 4.310e-1, -1.061e-2, 4.311e-1, -1.4
2.539e+2, 4.324e-1, -1.161e-2, 4.326e-1, -1.5
2.148e+2, 4.339e-1, -1.260e-2, 4.341e-1, -1.7
1.758e+2, 4.355e-1, -1.360e-2, 4.357e-1, -1.8
1.465e+2, 4.372e-1, -1.467e-2, 4.375e-1, -1.9
1.172e+2, 4.393e-1, -1.482e-2, 4.395e-1, -1.9
9.766e+1, 4.415e-1, -1.462e-2, 4.417e-1, -1.9
8.138e+1, 4.438e-1, -1.542e-2, 4.441e-1, -2.0
6.975e+1, 4.463e-1, -1.690e-2, 4.466e-1, -2.2
5.744e+1, 4.489e-1, -1.872e-2, 4.493e-1, -2.4
4.650e+1, 4.516e-1, -2.039e-2, 4.520e-1, -2.6
3.756e+1, 4.544e-1, -2.176e-2, 4.549e-1, -2.7
3.150e+1, 4.572e-1, -2.280e-2, 4.578e-1, -2.9
2.570e+1, 4.601e-1, -2.358e-2, 4.607e-1, -2.9
2.123e+1, 4.630e-1, -2.418e-2, 4.636e-1, -3.0
1.744e+1, 4.658e-1, -2.465e-2, 4.665e-1, -3.0
1.436e+1, 4.687e-1, -2.501e-2, 4.693e-1, -3.1
1.191e+1, 4.725e-1, -2.415e-2, 4.731e-1, -2.9
9.766e+0, 4.769e-1, -2.267e-2, 4.774e-1, -2.7
8.071e+0, 4.807e-1, -2.210e-2, 4.812e-1, -2.6
6.643e+0, 4.839e-1, -2.234e-2, 4.844e-1, -2.6
5.486e+0, 4.867e-1, -2.318e-2, 4.873e-1, -2.7
4.542e+0, 4.895e-1, -2.418e-2, 4.901e-1, -2.8
3.742e+0, 4.924e-1, -2.481e-2, 4.930e-1, -2.9
3.090e+0, 4.956e-1, -2.520e-2, 4.962e-1, -2.9
2.550e+0, 4.989e-1, -2.602e-2, 4.996e-1, -3.0
2.105e+0, 5.027e-1, -2.706e-2, 5.034e-1, -3.1
1.738e+0, 5.067e-1, -2.832e-2, 5.075e-1, -3.2
1.434e+0, 5.105e-1, -2.988e-2, 5.113e-1, -3.3
1.184e+0, 5.141e-1, -3.104e-2, 5.150e-1, -3.5
9.766e-1, 5.175e-1, -3.217e-2, 5.185e-1, -3.6
8.071e-1, 5.209e-1, -3.408e-2, 5.221e-1, -3.7
6.643e-1, 5.244e-1, -3.669e-2, 5.257e-1, -4.0
5.486e-1, 5.281e-1, -3.985e-2, 5.296e-1, -4.3
4.542e-1, 5.319e-1, -4.340e-2, 5.337e-1, -4.7
3.742e-1, 5.360e-1, -4.741e-2, 5.381e-1, -5.1
3.090e-1, 5.404e-1, -5.195e-2, 5.429e-1, -5.5
2.550e-1, 5.449e-1, -5.714e-2, 5.479e-1, -6.0
2.105e-1, 5.498e-1, -6.305e-2, 5.534e-1, -6.5
1.738e-1, 5.550e-1, -6.984e-2, 5.594e-1, -7.2
1.434e-1, 5.608e-1, -7.774e-2, 5.661e-1, -7.9
1.184e-1, 5.670e-1, -8.687e-2, 5.736e-1, -8.7
9.766e-2, 5.736e-1, -9.733e-2, 5.818e-1, -9.6
8.071e-2, 5.808e-1, -1.094e-1, 5.910e-1, -10.7
6.643e-2, 5.885e-1, -1.234e-1, 6.013e-1, -11.8
5.486e-2, 5.968e-1, -1.393e-1, 6.128e-1, -13.1
4.542e-2, 6.058e-1, -1.579e-1, 6.260e-1, -14.6
3.742e-2, 6.151e-1, -1.801e-1, 6.409e-1, -16.3
3.090e-2, 6.250e-1, -2.066e-1, 6.582e-1, -18.3
2.550e-2, 6.355e-1, -2.382e-1, 6.787e-1, -20.5
2.105e-2, 6.468e-1, -2.755e-1, 7.030e-1, -23.1
1.738e-2, 6.585e-1, -3.193e-1, 7.319e-1, -25.9
1.434e-2, 6.710e-1, -3.708e-1, 7.666e-1, -28.9
1.184e-2, 6.842e-1, -4.302e-1, 8.082e-1, -32.2
