May 19, 2026   17:23:19
A.C. Impedance
File: c:\users\pc\desktop\srtpData Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 2.678
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.01
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.668e+3, 2.898e-1, 6.396e-2, 2.968e-1, 12.4
8.105e+3, 2.898e-1, 5.361e-2, 2.947e-1, 10.5
6.641e+3, 2.893e-1, 4.231e-2, 2.924e-1, 8.3
5.469e+3, 2.896e-1, 3.424e-2, 2.916e-1, 6.7
4.590e+3, 2.897e-1, 2.696e-2, 2.910e-1, 5.3
3.711e+3, 2.902e-1, 2.131e-2, 2.910e-1, 4.2
3.125e+3, 2.907e-1, 1.620e-2, 2.912e-1, 3.2
2.539e+3, 2.914e-1, 1.202e-2, 2.916e-1, 2.4
2.148e+3, 2.921e-1, 8.433e-3, 2.922e-1, 1.7
1.758e+3, 2.929e-1, 5.274e-3, 2.929e-1, 1.0
1.465e+3, 2.939e-1, 2.519e-3, 2.939e-1, 0.5
1.172e+3, 2.949e-1, 8.257e-5, 2.949e-1, 0.0
9.668e+2, 2.958e-1, -2.004e-3, 2.958e-1, -0.4
8.105e+2, 2.968e-1, -3.710e-3, 2.968e-1, -0.7
6.641e+2, 2.978e-1, -5.192e-3, 2.979e-1, -1.0
5.469e+2, 2.989e-1, -6.506e-3, 2.990e-1, -1.2
4.590e+2, 3.001e-1, -7.739e-3, 3.002e-1, -1.5
3.711e+2, 3.014e-1, -8.890e-3, 3.015e-1, -1.7
3.125e+2, 3.027e-1, -9.998e-3, 3.029e-1, -1.9
2.539e+2, 3.041e-1, -1.108e-2, 3.043e-1, -2.1
2.148e+2, 3.056e-1, -1.215e-2, 3.058e-1, -2.3
1.758e+2, 3.071e-1, -1.322e-2, 3.074e-1, -2.5
1.465e+2, 3.089e-1, -1.430e-2, 3.092e-1, -2.7
1.172e+2, 3.109e-1, -1.473e-2, 3.113e-1, -2.7
9.766e+1, 3.130e-1, -1.492e-2, 3.134e-1, -2.7
8.138e+1, 3.153e-1, -1.580e-2, 3.157e-1, -2.9
6.975e+1, 3.177e-1, -1.713e-2, 3.182e-1, -3.1
5.744e+1, 3.203e-1, -1.868e-2, 3.208e-1, -3.3
4.650e+1, 3.229e-1, -2.007e-2, 3.236e-1, -3.6
3.756e+1, 3.257e-1, -2.121e-2, 3.264e-1, -3.7
3.150e+1, 3.285e-1, -2.207e-2, 3.293e-1, -3.8
2.570e+1, 3.314e-1, -2.272e-2, 3.322e-1, -3.9
2.123e+1, 3.343e-1, -2.319e-2, 3.351e-1, -4.0
1.744e+1, 3.371e-1, -2.355e-2, 3.379e-1, -4.0
1.436e+1, 3.399e-1, -2.383e-2, 3.407e-1, -4.0
1.191e+1, 3.435e-1, -2.322e-2, 3.443e-1, -3.9
9.766e+0, 3.476e-1, -2.218e-2, 3.483e-1, -3.7
8.071e+0, 3.511e-1, -2.180e-2, 3.518e-1, -3.6
6.643e+0, 3.542e-1, -2.203e-2, 3.549e-1, -3.6
5.486e+0, 3.570e-1, -2.271e-2, 3.577e-1, -3.6
4.542e+0, 3.597e-1, -2.354e-2, 3.605e-1, -3.7
3.742e+0, 3.625e-1, -2.413e-2, 3.633e-1, -3.8
3.090e+0, 3.656e-1, -2.458e-2, 3.664e-1, -3.8
2.550e+0, 3.688e-1, -2.536e-2, 3.697e-1, -3.9
2.105e+0, 3.725e-1, -2.629e-2, 3.734e-1, -4.0
1.738e+0, 3.764e-1, -2.740e-2, 3.774e-1, -4.2
1.434e+0, 3.801e-1, -2.882e-2, 3.812e-1, -4.3
1.184e+0, 3.836e-1, -3.002e-2, 3.848e-1, -4.5
9.766e-1, 3.869e-1, -3.123e-2, 3.882e-1, -4.6
8.071e-1, 3.902e-1, -3.307e-2, 3.916e-1, -4.8
6.643e-1, 3.935e-1, -3.553e-2, 3.951e-1, -5.2
5.486e-1, 3.970e-1, -3.846e-2, 3.988e-1, -5.5
4.542e-1, 4.007e-1, -4.174e-2, 4.029e-1, -5.9
3.742e-1, 4.046e-1, -4.551e-2, 4.072e-1, -6.4
3.090e-1, 4.087e-1, -4.982e-2, 4.118e-1, -6.9
2.550e-1, 4.131e-1, -5.475e-2, 4.167e-1, -7.5
2.105e-1, 4.179e-1, -6.039e-2, 4.222e-1, -8.2
1.738e-1, 4.229e-1, -6.687e-2, 4.282e-1, -9.0
1.434e-1, 4.284e-1, -7.432e-2, 4.348e-1, -9.8
1.184e-1, 4.342e-1, -8.291e-2, 4.420e-1, -10.8
9.766e-2, 4.404e-1, -9.284e-2, 4.501e-1, -11.9
8.071e-2, 4.471e-1, -1.043e-1, 4.592e-1, -13.1
6.643e-2, 4.544e-1, -1.177e-1, 4.694e-1, -14.5
5.486e-2, 4.622e-1, -1.330e-1, 4.809e-1, -16.1
